physician_providercode,physiciancode,providercode,physicianname,specialization,total_unique_patient_cnt,total_claim_count,all_claims_sum_of_util,ave_12_month_util_per_patient,opl_unique_px_cnt_at_least_one,opl_unique_px_count_at_least_one_pct,opl_ave_claims_per_px_at_least_one,opl_total_claims,opl_ave_cost_per_claim_per_px_at_least_one,opl_sum_of_util,opl_ave_twelve_month_util_per_px,inp_unique_px_count_at_least_one,inp_unique_px_count_at_least_one_pct,inp_ave_claims_per_px_at_least_one,inp_total_claims,inp_ave_cost_per_claim_per_px_at_least_one,inp_sum_of_util,inp_ave_twelve_month_util_per_px,others_unique_px_count_at_least_one,others_unique_px_count_at_least_one_pct,others_ave_claims_per_px_at_least_one,others_total_claims,others_ave_cost_per_claim_per_px_at_least_one,others_sum_of_util,others_ave_twelve_month_util_per_px,total_philhealth,ave_philhealth_claim
28973 - MAKATI MEDICAL CENTER,28973,MAKATI MEDICAL CENTER,JOEL ABAD DELA ROSA,Cardiology,41,280,1740708.19,42456.3,37,0.9,4.19,155,9504.52,1473200.19,35931.71,1,0.02,1,1,170952,170952,4169.56,35,0.85,3.54,124,778.68,96556,2355.02,85300,2080.49
90018911 - THE MEDICAL CITY,90018911,THE MEDICAL CITY,GERARD RYAN TORRENTE MERCADAL,Cardiology,81,744,3435656.91,42415.52,62,0.77,6.85,425,5590,2375750.51,29330.25,6,0.07,1.33,8,95238.37,761906.94,9406.26,74,0.91,4.2,311,958.2,297999.46,3679.01,166830,2059.63
90023331 - ASIAN HOSPITAL AND MEDICAL CENTER,90023331,ASIAN HOSPITAL AND MEDICAL CENTER,MARIA TERESITA BERNARDO PANGILINAN-IKEDA,Cardiology,31,186,1313858.32,42382.53,27,0.87,3.15,85,10687.16,908408.32,29303.49,3,0.1,1,3,82192.59,246577.77,7954.12,31,1,3.16,98,1621.15,158872.23,5124.91,100636.4,3246.34
90006544 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90006544,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JONATHAN JAMES GRANADA BERNARDO,Cardiology,34,201,1440523.15,42368.33,28,0.82,3.79,106,8716.32,923929.59,27174.4,2,0.06,1.5,3,126475.3,379425.89,11159.59,29,0.85,3.17,92,1490.95,137167.67,4034.34,72640,2136.47
90015705 - MANILA DOCTORS HOSPITAL,90015705,MANILA DOCTORS HOSPITAL,GINO REI ATACADOR QUIZON,Interventional Cardiology,14,97,592668.13,42333.44,9,0.64,4.56,41,4046.71,165915.23,11851.09,3,0.21,1.33,4,95652.39,382609.57,27329.25,13,0.93,4,52,848.91,44143.33,3153.1,70150,5010.71
8471 - MAKATI MEDICAL CENTER,8471,MAKATI MEDICAL CENTER,GIA D. WASSMER,Cardiology,17,129,717951.6,42232.45,13,0.77,4.77,62,8775.66,544091.06,32005.36,1,0.06,1,1,101539.64,101539.64,5972.92,16,0.94,4.13,66,1095.77,72320.9,4254.17,8200,482.35
90001913 - MAKATI MEDICAL CENTER,90001913,MAKATI MEDICAL CENTER,JUANCHO ALFREDO DAEL LAS,Cardiology,92,553,3873143.72,42099.39,65,0.71,4.12,268,7902.29,2117812.97,23019.71,8,0.09,1.13,9,169840.86,1528567.76,16614.87,86,0.93,3.21,276,821.61,226762.99,2464.82,194355,2112.55
90022201 - THE MEDICAL CITY,90022201,THE MEDICAL CITY,JEANNICA KRISELLE GONZALES LERIOS,Endocrinology,29,203,1199920.22,41376.56,20,0.69,5.75,115,6422.77,738618.37,25469.6,2,0.07,1,2,171243.23,342486.45,11809.88,29,1,2.97,86,1381.57,118815.4,4097.08,57107,1969.21
90027167 - ST. LUKE'S MEDICAL CENTER-QC,90027167,ST. LUKE'S MEDICAL CENTER-QC,MA. KRIZIA CAMILLE CABALLERO YAP,Internal Medicine,160,1059,6527534.55,40797.09,126,0.79,4.04,509,8863.5,4511519.43,28197,16,0.1,1.13,18,79518.75,1431337.51,8945.86,156,0.98,3.41,532,1099.02,584677.61,3654.24,290750,1817.19
20921 - MAKATI MEDICAL CENTER,20921,MAKATI MEDICAL CENTER,AMOR PERLAS LAURO,Cardiology,105,724,4278083.58,40743.65,82,0.78,4.26,349,8231.92,2872940.97,27361.34,5,0.05,1.4,7,148289.97,1038029.81,9886,103,0.98,3.57,368,997.59,367112.8,3496.31,202229.99,1926
90020201 - ST. LUKE'S MEDICAL CENTER-QC,90020201,ST. LUKE'S MEDICAL CENTER-QC,MARIEL JOY BAGO AZARES,Endocrinology,47,280,1907100.83,40576.61,34,0.72,3.82,130,10362.87,1347172.75,28663.25,2,0.04,2,4,87624.05,350496.21,7457.37,45,0.96,3.24,146,1434.46,209431.87,4456,81009,1723.6
90011417 - MAKATI MEDICAL CENTER,90011417,MAKATI MEDICAL CENTER,ANGELO BANZON LOZADA,Gastroenterology,8,55,323790.79,40473.85,8,1,3.5,28,10075.71,282119.95,35264.99,0,0,0,0,0,0,0,8,1,3.38,27,1543.36,41670.84,5208.86,31200,3900
90004393 - MAKATI MEDICAL CENTER,90004393,MAKATI MEDICAL CENTER,EDWIN EPHRAIM G. WENCESLAO,Interventional Cardiology,35,132,1405046.81,40144.19,35,1,2.89,101,8768.97,885666.1,25304.75,2,0.06,1,2,211477.52,422955.03,12084.43,14,0.4,2.07,29,3325.02,96425.68,2755.02,78560,2244.57
90024591 - ST. LUKE'S MEDICAL CENTER-QC,90024591,ST. LUKE'S MEDICAL CENTER-QC,RAMAYANA DIAZ GARCIA,Cardiology,8,63,321050.98,40131.37,5,0.63,6.6,33,8918.95,294325.3,36790.66,0,0,0,0,0,0,0,8,1,3.75,30,890.86,26725.68,3340.71,7150,893.75
19451 - ASIAN HOSPITAL AND MEDICAL CENTER,19451,ASIAN HOSPITAL AND MEDICAL CENTER,JUAN DIONISIO MARCELINO REYES FORONDA,Cardiology,83,404,3317278.71,39967.21,65,0.78,2.42,157,10540.33,1654832.02,19937.74,6,0.07,1,6,234180.47,1405082.79,16928.71,79,0.95,3.05,241,1067.9,257363.9,3100.77,121227,1460.57
90029996 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90029996,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,GLADELYN CAPILI ESCASURA,Cardiology,39,206,1555694.33,39889.6,24,0.62,3.46,83,13089.52,1086430.34,27857.19,3,0.08,1.33,4,81061.03,324244.11,8313.95,39,1,3.05,119,1218.65,145019.88,3718.46,56635,1452.18
20921 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,20921,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,AMOR PERLAS LAURO,Cardiology,40,235,1593628.9,39840.72,30,0.75,4.2,126,8892.78,1120490.44,28012.26,3,0.08,1,3,77260.63,231781.89,5794.55,39,0.98,2.72,106,2276.95,241356.57,6033.91,21190,529.75
90029467 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90029467,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JEKRYLEI INCILLO CADELIÃ‘A,Endocrinology,13,87,517197.03,39784.39,8,0.62,3.75,30,8474.47,254234.04,19556.46,1,0.08,2,2,104308.02,208616.04,16047.39,13,1,4.23,55,988.13,54346.95,4180.53,25750,1980.77
31182 - MARIKINA VALLEY MEDICAL CENTER INC.,31182,MARIKINA VALLEY MEDICAL CENTER INC.,REMUS SULPICIUS TACLAY BATILARAN,Interventional Cardiology,16,106,633298.12,39581.13,13,0.81,3.31,43,7335.08,315408.38,19713.02,2,0.13,1,2,127828.58,255657.15,15978.57,15,0.94,4.07,61,1020.21,62232.59,3889.54,42900,2681.25
90004562 - ASIAN HOSPITAL AND MEDICAL CENTER,90004562,ASIAN HOSPITAL AND MEDICAL CENTER,GILBERT GABRIEL FLORENTINO,Interventional Cardiology,33,155,1299339.12,39373.91,21,0.64,2.95,62,13685.14,848478.76,25711.48,4,0.12,1,4,86564.46,346257.85,10492.66,31,0.94,2.87,89,1175.31,104602.51,3169.77,57522,1743.09
90022527 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90022527,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,KRISTOFFER VINCENT PINE TANSECO,Cardiology,23,125,905530.79,39370.9,15,0.65,4.53,68,9877.38,671661.64,29202.68,1,0.04,1,1,139604.73,139604.73,6069.77,21,0.91,2.67,56,1683.29,94264.42,4098.45,38100,1656.52
90027004 - ST. LUKE'S MEDICAL CENTER-QC,90027004,ST. LUKE'S MEDICAL CENTER-QC,CARMEN CARINA GLORIA CABRERA,Endocrinology,13,56,509574.9,39198.07,8,0.62,3.38,27,12952.77,349724.9,26901.92,1,0.08,1,1,144000,144000,11076.92,12,0.92,2.33,28,566.07,15850,1219.23,23100,1776.92
90026322 - ASIAN HOSPITAL AND MEDICAL CENTER,90026322,ASIAN HOSPITAL AND MEDICAL CENTER,JEZREEL LABRADOR TAQUISO,Cardiology,38,186,1489277.36,39191.51,33,0.87,2.61,86,13682.44,1176689.81,30965.52,2,0.05,1,2,83080.63,166161.26,4372.66,37,0.97,2.65,98,1494.15,146426.29,3853.32,33930,892.89
90001367 - ASIAN HOSPITAL AND MEDICAL CENTER,90001367,ASIAN HOSPITAL AND MEDICAL CENTER,ALAN REGIN SY MALVAR,Nephrology,61,375,2388921.75,39162.65,48,0.79,3.54,170,9309.56,1582624.98,25944.67,3,0.05,1.33,4,162982.54,651930.14,10687.38,60,0.98,3.35,201,767.99,154366.63,2530.6,161682,2650.52
90018603 - MAKATI MEDICAL CENTER,90018603,MAKATI MEDICAL CENTER,CHARISSE MENDOZA ALDEA,Cardiology,117,622,4542389.67,38823.84,92,0.79,3.48,320,10576.91,3384609.96,28928.29,5,0.04,1,5,179572.34,897861.68,7674.03,104,0.89,2.86,297,875.14,259918.03,2221.52,218065,1863.8
90023181 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90023181,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,ANDRE LAWRENCE GONZALES TOJINO,Cardiology,75,418,2854015.04,38053.53,54,0.72,3.43,185,11719.08,2168029.97,28907.07,4,0.05,1.25,5,81687.04,408435.19,5445.8,74,0.99,3.08,228,1217.32,277549.88,3700.67,126530,1687.07
90025894 - ASIAN HOSPITAL AND MEDICAL CENTER,90025894,ASIAN HOSPITAL AND MEDICAL CENTER,BERNARD BENJAMIN PASION ALBANO,Cardiology,16,77,606866.17,37929.14,14,0.88,2.57,36,10091.54,363295.55,22705.97,1,0.06,1,1,164499,164499,10281.19,13,0.81,3.08,40,1976.79,79071.62,4941.98,18100,1131.25
20921 - ASIAN HOSPITAL AND MEDICAL CENTER,20921,ASIAN HOSPITAL AND MEDICAL CENTER,AMOR PERLAS LAURO,Cardiology,52,324,1971028.32,37904.39,41,0.79,3.29,135,8469.92,1143438.92,21989.21,5,0.1,1,5,130394.25,651971.25,12537.91,50,0.96,3.68,184,954.45,175618.15,3377.27,98370,1891.73
"90027182 - MEDICAL CENTER MANILA, INC.",90027182,"MEDICAL CENTER MANILA, INC.",ALFRED MATTHEW REYES DAYO,Internal Medicine,23,129,869891.62,37821.37,21,0.91,3,63,5128.76,323111.92,14048.34,1,0.04,1,1,480000,480000,20869.57,22,0.96,2.95,65,1027.38,66779.7,2903.47,52888,2299.48
90016185 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,90016185,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,MICHELLE ANG CO,Endocrinology,12,56,448426.47,37368.87,6,0.5,4,24,3984.19,95620.45,7968.37,2,0.17,1,2,157335,314670,26222.5,12,1,2.5,30,1271.2,38136.02,3178,7553,629.42
4730 - THE MEDICAL CITY,4730,THE MEDICAL CITY,CARLOS PONCIANO R. ESGUERRA,Interventional Cardiology,10,67,370711.73,37071.17,10,1,5.6,56,5683.89,318297.93,31829.79,0,0,0,0,0,0,0,7,0.7,1.57,11,4764.89,52413.8,5241.38,0,0
90029801 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90029801,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,GEORGE HO CORDOVA,Cardiology,7,31,258515.75,36930.82,6,0.86,2,12,11239.58,134874.9,19267.84,1,0.14,1,1,85777.14,85777.14,12253.88,6,0.86,3,18,2103.54,37863.71,5409.1,20670,2952.86
90015951 - ASIAN HOSPITAL AND MEDICAL CENTER,90015951,ASIAN HOSPITAL AND MEDICAL CENTER,DANIELLE LOUIS ENRIQUEZ VILLANUEVA,Cardiology,26,127,960124.2,36927.85,17,0.65,3.18,54,7732.34,417546.2,16059.47,4,0.15,1,4,90134.19,360536.76,13866.8,25,0.96,2.76,69,2638.28,182041.24,7001.59,61536,2366.77
6066 - MAKATI MEDICAL CENTER,6066,MAKATI MEDICAL CENTER,NOEL L. ROSAS,Interventional Cardiology,52,380,1919281.28,36909.26,35,0.67,5.51,193,7604.75,1467716,28225.31,1,0.02,1,1,196474.87,196474.87,3778.36,50,0.96,3.72,186,1371.45,255090.41,4905.58,94990,1826.73
90028390 - ASIAN HOSPITAL AND MEDICAL CENTER,90028390,ASIAN HOSPITAL AND MEDICAL CENTER,EZEKIEL DOMINGO BALLONADO,Internal Medicine,17,86,627272.79,36898.4,15,0.88,2.4,36,12550.73,451826.29,26578.02,1,0.06,1,1,144596,144596,8505.65,17,1,2.88,49,629.6,30850.5,1814.74,34710,2041.76
20151 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,20151,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,CESAR ANTONIO V. ZULUETA,Cardiology,26,151,956051.69,36771.22,17,0.65,4.24,72,5963.97,429406.16,16515.62,3,0.12,1.33,4,110177.03,440708.13,16950.31,24,0.92,3.13,75,1145.83,85937.4,3305.28,72610,2792.69
29042 - ST. LUKE'S MEDICAL CENTER-QC,29042,ST. LUKE'S MEDICAL CENTER-QC,EDWARD BENJIE L. MAGSOMBOL,Cardiology,51,320,1873008.29,36725.65,43,0.84,3.93,169,6723.7,1136305.23,22280.49,2,0.04,1,2,266272.58,532545.15,10442.06,47,0.92,3.17,149,1370.19,204157.91,4003.1,78255,1534.41
14531 - ST. LUKE'S MEDICAL CENTER-QC,14531,ST. LUKE'S MEDICAL CENTER-QC,IRMA MARIE PAYE YAPE,Cardiology,9,47,329961.04,36662.34,6,0.67,4.5,27,8492.86,229307.2,25478.58,1,0.11,1,1,82850.04,82850.04,9205.56,8,0.89,2.38,19,937.04,17803.8,1978.2,5500,611.11
39452 - THE MEDICAL CITY,39452,THE MEDICAL CITY,IRWIN PAUL NABONG BUNDALIAN,Cardiology,42,195,1533347.97,36508.29,27,0.64,2.96,80,7449.53,595962.35,14189.58,2,0.05,1,2,412500,825000,19642.86,37,0.88,3.05,113,994.56,112385.62,2675.85,105615,2514.64
"90010979 - MANILA EAST MEDICAL CENTER, INC.",90010979,"MANILA EAST MEDICAL CENTER, INC.",EDGARD AGUSTIN FORONDA,Cardiology,55,318,2004586.85,36447.03,35,0.64,3.91,137,5305.9,726907.76,13216.5,6,0.11,1.17,7,160961.36,1126729.49,20485.99,54,0.98,3.22,174,867.53,150949.6,2744.54,140515,2554.82
10021 - MAKATI MEDICAL CENTER,10021,MAKATI MEDICAL CENTER,LOURDES DORION DIAZ,Cardiology,18,80,654346.8,36352.6,16,0.89,2.75,44,9675.65,425728.4,23651.58,3,0.17,1,3,68586.67,205760,11431.11,13,0.72,2.54,33,692.68,22858.4,1269.91,37380,2076.67
28962 - MAKATI MEDICAL CENTER,28962,MAKATI MEDICAL CENTER,MA. CECILIA GUILAS GONZALES,Cardiology,7,50,254393.91,36341.99,7,1,2.57,18,9125.82,164264.71,23466.39,0,0,0,0,0,0,0,6,0.86,5.33,32,2816.54,90129.2,12875.6,13725.2,1960.74
10384 - THE MEDICAL CITY,10384,THE MEDICAL CITY,ROMMEL PORNASDORO TOLENTINO,Cardiology,9,69,326414.95,36268.33,8,0.89,5,40,4422.98,176919.06,19657.67,1,0.11,1,1,104695.21,104695.21,11632.8,7,0.78,4,28,1600.02,44800.68,4977.85,5500,611.11
90013069 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90013069,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,RICHARD QUIDASOL ARELLANO,Cardiology,11,57,398666.37,36242.4,10,0.91,2.5,25,5685.3,142132.4,12921.13,1,0.09,1,1,219919.55,219919.55,19992.69,10,0.91,3.1,31,1181.11,36614.42,3328.58,29130,2648.18
90000232 - DILIMAN DOCTORS HOSPITAL INC.,90000232,DILIMAN DOCTORS HOSPITAL INC.,DARWIN CO UY,Cardiology,11,61,398543.3,36231.21,11,1,2.64,29,13127.49,380697.3,34608.85,0,0,0,0,0,0,0,9,0.82,3.56,32,557.69,17846,1622.36,20400,1854.55
90004910 - MANILA DOCTORS HOSPITAL,90004910,MANILA DOCTORS HOSPITAL,WILBERT ALLAN GULINAO GUMATAY,Cardiology,29,163,1046457.56,36084.74,16,0.55,6.13,98,7757.79,760263.73,26215.99,2,0.07,1,2,112657.62,225315.23,7769.49,25,0.86,2.52,63,966.33,60878.6,2099.26,95850,3305.17
"90026322 - MEDICAL CENTER MANILA, INC.",90026322,"MEDICAL CENTER MANILA, INC.",JEZREEL LABRADOR TAQUISO,Cardiology,27,180,968649.56,35875.91,20,0.74,3.95,79,8574.78,677407.68,25089.17,2,0.07,1,2,73967,147934,5479.04,27,1,3.67,99,1447.55,143307.88,5307.7,54380,2014.07
90024763 - THE MEDICAL CITY,90024763,THE MEDICAL CITY,ALFRED RAIMOND STA. ANA MUÃ‘OZ,Cardiology,18,94,645726.58,35873.7,14,0.78,3.07,43,8072.02,347096.69,19283.15,1,0.06,2,2,120124.93,240249.86,13347.21,18,1,2.72,49,1191.43,58380.03,3243.33,10500,583.33
16871 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,16871,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JESUS EDGAR ALMEIDA VILLANO,Cardiology,25,157,894799.47,35791.98,23,0.92,3.22,74,7684.83,568677.32,22747.09,2,0.08,1.5,3,77620.34,232861.03,9314.44,25,1,3.2,80,1165.76,93261.12,3730.44,36150,1446
14066 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,14066,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,MICHAEL LIM VILLA,Endocrinology,38,208,1356190.51,35689.22,38,1,3.42,130,6883.73,894885.38,23549.62,4,0.11,1,4,59916.06,239664.22,6306.95,24,0.63,3.08,74,2995.15,221640.91,5832.66,42160,1109.47
25612 - ST. LUKE'S MEDICAL CENTER-QC,25612,ST. LUKE'S MEDICAL CENTER-QC,EUNICE UY TAN,Cardiology,13,61,463328.3,35640.64,10,0.77,3.3,33,13132.08,433358.72,33335.29,0,0,0,0,0,0,0,11,0.85,2.55,28,1070.34,29969.58,2305.35,12900,992.31
90013686 - ST. LUKE'S MEDICAL CENTER-QC,90013686,ST. LUKE'S MEDICAL CENTER-QC,FEDERICK CO CHENG,Cardiology,12,39,427183.92,35598.66,6,0.5,3.83,23,18197.91,418551.92,34879.33,0,0,0,0,0,0,0,10,0.83,1.6,16,539.5,8632,719.33,9600,800
1479 - ASIAN HOSPITAL AND MEDICAL CENTER,1479,ASIAN HOSPITAL AND MEDICAL CENTER,BENJAMIN GARCIA LUNA JR.,Cardiology,32,172,1131069.4,35345.92,25,0.78,2.84,71,10908.34,774492.28,24202.88,3,0.09,1.33,4,48032.62,192130.46,6004.08,30,0.94,3.23,97,1695.33,164446.66,5138.96,86025,2688.28
90009825 - MAKATI MEDICAL CENTER,90009825,MAKATI MEDICAL CENTER,VALERIE RACELA ZARZA-GERON,Cardiology,37,244,1307492.51,35337.64,21,0.57,5.71,120,7742.91,929149,25112.14,2,0.05,1,2,102947.78,205895.56,5564.74,36,0.97,3.39,122,1413.51,172447.95,4660.76,103610,2800.27
90020875 - ASIAN HOSPITAL AND MEDICAL CENTER,90020875,ASIAN HOSPITAL AND MEDICAL CENTER,LOUDON CLARO ENCARNADO ANTONIO,Cardiology,63,317,2220379.06,35244.11,39,0.62,2.95,115,12781.61,1469884.61,23331.5,4,0.06,1,4,133473.66,533894.62,8474.52,63,1,3.14,198,1093.94,216599.83,3438.09,233050,3699.21
90007885 - ST. LUKE'S MEDICAL CENTER-QC,90007885,ST. LUKE'S MEDICAL CENTER-QC,IAN HOMER YEE CUA,Gastroenterology,15,82,528160.92,35210.73,12,0.8,3.25,39,12437.02,485043.97,32336.26,0,0,0,0,0,0,0,13,0.87,3.31,43,1002.72,43116.95,2874.46,9600,640
90000297 - ST. LUKE'S MEDICAL CENTER-QC,90000297,ST. LUKE'S MEDICAL CENTER-QC,CONRADO BELMONTE DE CASTRO,Gastroenterology,10,69,351251.54,35125.15,8,0.8,3.75,30,5803.31,174099.43,17409.94,1,0.1,1,1,110000,110000,11000,10,1,3.8,38,1767.16,67152.11,6715.21,22300,2230
90030042 - ASIAN HOSPITAL AND MEDICAL CENTER,90030042,ASIAN HOSPITAL AND MEDICAL CENTER,JOSE ANTONIO LOPEZ BAUTISTA,Cardiology,9,36,314814.35,34979.37,6,0.67,2.17,13,18499.82,240497.71,26721.97,1,0.11,1,1,45393.04,45393.04,5043.67,9,1,2.44,22,1314.71,28923.6,3213.73,6600,733.33
90022606 - CARDINAL SANTOS MEDICAL CENTER,90022606,CARDINAL SANTOS MEDICAL CENTER,MARC JOSEF SY SO,Internal Medicine,15,84,523780.84,34918.72,10,0.67,3.9,39,3483.07,135839.72,9055.98,3,0.2,1,3,109510.59,328531.77,21902.12,14,0.93,3,42,1414.51,59409.35,3960.62,73970,4931.33
90020749 - ST. LUKE'S MEDICAL CENTER-QC,90020749,ST. LUKE'S MEDICAL CENTER-QC,LESTER SY UY,Cardiology,37,245,1288206.35,34816.39,30,0.81,4.8,144,8306.31,1196108.94,32327.27,0,0,0,0,0,0,0,37,1,2.73,101,911.86,92097.41,2489.12,63960,1728.65
36085 - ASIAN HOSPITAL AND MEDICAL CENTER,36085,ASIAN HOSPITAL AND MEDICAL CENTER,CHRISTOPHER P. DELOS REYES,Interventional Cardiology,56,314,1940997.45,34660.67,35,0.63,4.14,145,9529.28,1381745.28,24674.02,5,0.09,1,5,83884.97,419424.86,7489.73,56,1,2.93,164,852.61,139827.31,2496.92,117806,2103.68
90029024 - MANILA DOCTORS HOSPITAL,90029024,MANILA DOCTORS HOSPITAL,MICHAEL ALEK YU TAN,Gastroenterology,14,119,484482.35,34605.88,13,0.93,5.92,77,4292.13,330493.79,23606.7,1,0.07,1,1,130216.56,130216.56,9301.18,13,0.93,3.15,41,579.8,23772,1698,36660,2618.57
90027962 - ST. LUKE'S MEDICAL CENTER-QC,90027962,ST. LUKE'S MEDICAL CENTER-QC,MONICA KRISTINE REYES SINDIONG,Cardiology,55,333,1899188.95,34530.71,38,0.69,3.76,143,8657.83,1238069.65,22510.36,5,0.09,1.2,6,70896.16,425376.94,7734.13,55,1,3.35,184,1281.21,235742.36,4286.22,109320,1987.64
90012767 - ST. LUKE'S MEDICAL CENTER-QC,90012767,ST. LUKE'S MEDICAL CENTER-QC,CLARA SY TOLENTINO,Cardiology,8,37,276237.96,34529.75,6,0.75,3.33,20,13335.8,266715.96,33339.5,0,0,0,0,0,0,0,7,0.88,2.43,17,560.12,9522,1190.25,15600,1950
90024620 - ST. LUKE'S MEDICAL CENTER-QC,90024620,ST. LUKE'S MEDICAL CENTER-QC,CONRAD ARGANDA ESTANISLAO,Nephrology,39,192,1332634.48,34170.11,28,0.72,3.5,98,9531.32,934069.45,23950.5,3,0.08,1.33,4,86822.26,347289.03,8904.85,35,0.9,2.57,90,569.73,51276,1314.77,107130,2746.92
90020406 - CARDINAL SANTOS MEDICAL CENTER,90020406,CARDINAL SANTOS MEDICAL CENTER,LENNIE VILLOSO CASTILLO,Cardiology,8,59,272649.63,34081.2,8,1,4.88,39,6698.45,261239.63,32654.95,0,0,0,0,0,0,0,7,0.88,2.86,20,570.5,11410,1426.25,15020,1877.5
90024278 - OUR LADY OF LOURDES HOSPITAL-MANILA,90024278,OUR LADY OF LOURDES HOSPITAL-MANILA,CHARISSE ANNE REVIL TING,Cardiology,36,280,1226091.27,34058.09,33,0.92,3.88,128,5450.69,697688.58,19380.24,3,0.08,1.67,5,73516.25,367581.23,10210.59,34,0.94,4.32,147,1094.02,160821.46,4467.26,53673,1490.92
"90020666 - MEDICAL CENTER MANILA, INC.",90020666,"MEDICAL CENTER MANILA, INC.",JUAN CARLO PASCUAL DAYRIT,Endocrinology,15,101,510140.08,34009.34,14,0.93,4.14,58,5000.91,290052.8,19336.85,1,0.07,1,1,175365.31,175365.31,11691.02,14,0.93,3,42,1064.81,44721.97,2981.46,18000,1200
90024783 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90024783,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,JOAN AVA KAYE ROSALES TIU,Internal Medicine,12,46,407517.66,33959.81,6,0.5,2.83,17,5720.11,97241.95,8103.5,3,0.25,1,3,90937.97,272813.9,22734.49,9,0.75,2.89,26,1440.84,37461.81,3121.82,49380,4115
90020749 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90020749,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,LESTER SY UY,Cardiology,39,247,1313429.6,33677.68,31,0.8,3.52,109,10003.88,1090423.46,27959.58,1,0.03,1,1,97244,97244,2493.44,39,1,3.51,137,917.97,125762.14,3224.67,6825,175
37372 - CARDINAL SANTOS MEDICAL CENTER,37372,CARDINAL SANTOS MEDICAL CENTER,MELISSA CO SIA,Endocrinology,10,88,336313.68,33631.37,9,0.9,6,54,5568,300672.06,30067.21,0,0,0,0,0,0,0,9,0.9,3.78,34,1048.28,35641.62,3564.16,0,0
14068 - THE MEDICAL CITY,14068,THE MEDICAL CITY,ADRIEL E. GUERRERO,Cardiology,11,62,369761.75,33614.7,8,0.73,5.38,43,5258.22,226103.37,20554.85,1,0.09,1,1,107082.38,107082.38,9734.76,8,0.73,2.25,18,2032,36576,3325.09,15060,1369.09
4821 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,4821,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,MARILOU TRAJECO DE JESUS,Cardiology,26,126,873788.14,33607.24,23,0.89,2.48,57,7996.53,455802.28,17530.86,2,0.08,1,2,148780,297560,11444.62,19,0.73,3.53,67,1797.4,120425.86,4631.76,28380,1091.54
90010206 - MANILA DOCTORS HOSPITAL,90010206,MANILA DOCTORS HOSPITAL,IAN HERBERT IGMEN ESTANISLAO,Cardiology,91,646,3046198.97,33474.71,69,0.76,5.39,372,5858.44,2179339.97,23948.79,4,0.04,1,4,134461.2,537844.79,5910.38,88,0.97,3.07,270,1218.57,329014.21,3615.54,172990,1900.99
90009924 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90009924,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,DEBORAH IGNACIA A. DAVID-ONA,Nephrology,23,130,767771.83,33381.38,16,0.7,3.75,60,11761.78,705706.62,30682.9,0,0,0,0,0,0,0,21,0.91,3.33,70,886.65,62065.21,2698.49,10900,473.91
30661 - MARIKINA VALLEY MEDICAL CENTER INC.,30661,MARIKINA VALLEY MEDICAL CENTER INC.,MA. CORAZON M CASTIGADOR,Cardiology,65,368,2166535.86,33331.32,52,0.8,3.06,159,8914.47,1417401.18,21806.17,8,0.12,1,8,69260.06,554080.45,8524.31,64,0.98,3.14,201,970.42,195054.23,3000.83,94691,1456.78
16871 - THE MEDICAL CITY,16871,THE MEDICAL CITY,JESUS EDGAR ALMEIDA VILLANO,Cardiology,93,653,3099129.93,33323.98,69,0.74,4.86,335,5556.29,1861357.17,20014.59,8,0.09,1.13,9,95435.01,858915.12,9235.65,93,1,3.32,309,1226.08,378857.64,4073.74,219560,2360.86
