physician_providercode,physiciancode,providercode,physicianname,specialization,total_unique_patient_cnt,total_claim_count,all_claims_sum_of_util,ave_12_month_util_per_patient,opl_unique_px_cnt_at_least_one,opl_unique_px_count_at_least_one_pct,opl_ave_claims_per_px_at_least_one,opl_total_claims,opl_ave_cost_per_claim_per_px_at_least_one,opl_sum_of_util,opl_ave_twelve_month_util_per_px,inp_unique_px_count_at_least_one,inp_unique_px_count_at_least_one_pct,inp_ave_claims_per_px_at_least_one,inp_total_claims,inp_ave_cost_per_claim_per_px_at_least_one,inp_sum_of_util,inp_ave_twelve_month_util_per_px,others_unique_px_count_at_least_one,others_unique_px_count_at_least_one_pct,others_ave_claims_per_px_at_least_one,others_total_claims,others_ave_cost_per_claim_per_px_at_least_one,others_sum_of_util,others_ave_twelve_month_util_per_px,total_philhealth,ave_philhealth_claim
"4132 - MEDICAL CENTER MANILA, INC.",4132,"MEDICAL CENTER MANILA, INC.",ELIZABETH ANG UY,Cardiology,13,69,564402.26,43415.56,13.00,1.00,3.23,42.00,10938.51,459417.26,35339.79,1.00,0.08,1.00,1.00,65000.00,65000.00,5000.00,8.00,0.62,3.25,26.00,1537.88,39985.00,3075.77,50380.00,3875.38
90016949 - MAKATI MEDICAL CENTER,90016949,MAKATI MEDICAL CENTER,ODESSA TOLENTINO WILSON,Cardiology,23,150,989933.30,43040.58,20.00,0.87,3.80,76.00,9860.12,749368.80,32581.25,1.00,0.04,1.00,1.00,197000.00,197000.00,8565.22,16.00,0.70,4.56,73.00,596.77,43564.50,1894.11,37320.00,1622.61
"90020527 - MEDICAL CENTER MANILA, INC.",90020527,"MEDICAL CENTER MANILA, INC.",NICY FRANCISCO NARVAS,Internal Medicine,12,56,513424.14,42785.35,9.00,0.75,2.00,18.00,9792.26,176260.75,14688.40,2.00,0.17,1.00,2.00,144359.63,288719.25,24059.94,12.00,1.00,3.00,36.00,1345.67,48444.14,4037.01,42700.00,3558.33
19651 - ASIAN HOSPITAL AND MEDICAL CENTER,19651,ASIAN HOSPITAL AND MEDICAL CENTER,ARCALUCY M. CABALU,Cardiology,32,150,1367683.07,42740.10,22.00,0.69,2.86,63.00,9919.89,624953.24,19529.79,3.00,0.09,1.33,4.00,142999.87,571999.46,17874.98,30.00,0.94,2.77,83.00,2056.99,170730.37,5335.32,49260.00,1539.38
90021639 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90021639,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,EDUARDO ONGLEO YAMBAO JR.,Interventional Cardiology,10,40,426284.73,42628.47,8.00,0.80,2.25,18.00,19113.10,344035.81,34403.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00,2.20,22.00,3738.59,82248.92,8224.89,22080.00,2208.00
90023642 - DILIMAN DOCTORS HOSPITAL INC.,90023642,DILIMAN DOCTORS HOSPITAL INC.,KAREN GAIL ARCANO FLOREN,Internal Medicine,18,122,767184.20,42621.34,13.00,0.72,4.46,58.00,7267.02,421486.93,23415.94,3.00,0.17,1.00,3.00,97997.71,293993.14,16332.95,15.00,0.83,4.07,61.00,847.61,51704.13,2872.45,534200.00,29677.78
90005743 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90005743,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,FERDINAND VILORIA ALZATE,Interventional Cardiology,106,595,4512939.14,42574.90,73.00,0.69,3.16,231.00,11144.39,2574353.12,24286.35,6.00,0.06,2.17,13.00,116685.65,1516913.51,14310.50,101.00,0.95,3.48,351.00,1201.35,421672.51,3978.04,134007.00,1264.22
28973 - MAKATI MEDICAL CENTER,28973,MAKATI MEDICAL CENTER,JOEL ABAD DELA ROSA,Cardiology,41,280,1740708.19,42456.30,37.00,0.90,4.19,155.00,9504.52,1473200.19,35931.71,1.00,0.02,1.00,1.00,170952.00,170952.00,4169.56,35.00,0.85,3.54,124.00,778.68,96556.00,2355.02,85300.00,2080.49
90018911 - THE MEDICAL CITY,90018911,THE MEDICAL CITY,GERARD RYAN TORRENTE MERCADAL,Cardiology,81,744,3435656.91,42415.52,62.00,0.77,6.85,425.00,5590.00,2375750.51,29330.25,6.00,0.07,1.33,8.00,95238.37,761906.94,9406.26,74.00,0.91,4.20,311.00,958.20,297999.46,3679.01,166830.00,2059.63
90023331 - ASIAN HOSPITAL AND MEDICAL CENTER,90023331,ASIAN HOSPITAL AND MEDICAL CENTER,MARIA TERESITA BERNARDO PANGILINAN-IKEDA,Cardiology,31,186,1313858.32,42382.53,27.00,0.87,3.15,85.00,10687.16,908408.32,29303.49,3.00,0.10,1.00,3.00,82192.59,246577.77,7954.12,31.00,1.00,3.16,98.00,1621.15,158872.23,5124.91,100636.40,3246.34
90006544 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90006544,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JONATHAN JAMES GRANADA BERNARDO,Cardiology,34,201,1440523.15,42368.33,28.00,0.82,3.79,106.00,8716.32,923929.59,27174.40,2.00,0.06,1.50,3.00,126475.30,379425.89,11159.59,29.00,0.85,3.17,92.00,1490.95,137167.67,4034.34,72640.00,2136.47
90015705 - MANILA DOCTORS HOSPITAL,90015705,MANILA DOCTORS HOSPITAL,GINO REI ATACADOR QUIZON,Interventional Cardiology,14,97,592668.13,42333.44,9.00,0.64,4.56,41.00,4046.71,165915.23,11851.09,3.00,0.21,1.33,4.00,95652.39,382609.57,27329.25,13.00,0.93,4.00,52.00,848.91,44143.33,3153.10,70150.00,5010.71
8471 - MAKATI MEDICAL CENTER,8471,MAKATI MEDICAL CENTER,GIA D. WASSMER,Cardiology,17,129,717951.60,42232.45,13.00,0.77,4.77,62.00,8775.66,544091.06,32005.36,1.00,0.06,1.00,1.00,101539.64,101539.64,5972.92,16.00,0.94,4.13,66.00,1095.77,72320.90,4254.17,8200.00,482.35
90001913 - MAKATI MEDICAL CENTER,90001913,MAKATI MEDICAL CENTER,JUANCHO ALFREDO DAEL LAS,Cardiology,92,553,3873143.72,42099.39,65.00,0.71,4.12,268.00,7902.29,2117812.97,23019.71,8.00,0.09,1.13,9.00,169840.86,1528567.76,16614.87,86.00,0.93,3.21,276.00,821.61,226762.99,2464.82,194355.00,2112.55
90022201 - THE MEDICAL CITY,90022201,THE MEDICAL CITY,JEANNICA KRISELLE GONZALES LERIOS,Endocrinology,29,203,1199920.22,41376.56,20.00,0.69,5.75,115.00,6422.77,738618.37,25469.60,2.00,0.07,1.00,2.00,171243.23,342486.45,11809.88,29.00,1.00,2.97,86.00,1381.57,118815.40,4097.08,57107.00,1969.21
90027167 - ST. LUKE'S MEDICAL CENTER-QC,90027167,ST. LUKE'S MEDICAL CENTER-QC,MA. KRIZIA CAMILLE CABALLERO YAP,Internal Medicine,160,1059,6527534.55,40797.09,126.00,0.79,4.04,509.00,8863.50,4511519.43,28197.00,16.00,0.10,1.13,18.00,79518.75,1431337.51,8945.86,156.00,0.98,3.41,532.00,1099.02,584677.61,3654.24,290750.00,1817.19
20921 - MAKATI MEDICAL CENTER,20921,MAKATI MEDICAL CENTER,AMOR PERLAS LAURO,Cardiology,105,724,4278083.58,40743.65,82.00,0.78,4.26,349.00,8231.92,2872940.97,27361.34,5.00,0.05,1.40,7.00,148289.97,1038029.81,9886.00,103.00,0.98,3.57,368.00,997.59,367112.80,3496.31,202229.99,1926.00
90020201 - ST. LUKE'S MEDICAL CENTER-QC,90020201,ST. LUKE'S MEDICAL CENTER-QC,MARIEL JOY BAGO AZARES,Endocrinology,47,280,1907100.83,40576.61,34.00,0.72,3.82,130.00,10362.87,1347172.75,28663.25,2.00,0.04,2.00,4.00,87624.05,350496.21,7457.37,45.00,0.96,3.24,146.00,1434.46,209431.87,4456.00,81009.00,1723.60
90011417 - MAKATI MEDICAL CENTER,90011417,MAKATI MEDICAL CENTER,ANGELO BANZON LOZADA,Gastroenterology,8,55,323790.79,40473.85,8.00,1.00,3.50,28.00,10075.71,282119.95,35264.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,1.00,3.38,27.00,1543.36,41670.84,5208.86,31200.00,3900.00
90004393 - MAKATI MEDICAL CENTER,90004393,MAKATI MEDICAL CENTER,EDWIN EPHRAIM G. WENCESLAO,Interventional Cardiology,35,132,1405046.81,40144.19,35.00,1.00,2.89,101.00,8768.97,885666.10,25304.75,2.00,0.06,1.00,2.00,211477.52,422955.03,12084.43,14.00,0.40,2.07,29.00,3325.02,96425.68,2755.02,78560.00,2244.57
90024591 - ST. LUKE'S MEDICAL CENTER-QC,90024591,ST. LUKE'S MEDICAL CENTER-QC,RAMAYANA DIAZ GARCIA,Cardiology,8,63,321050.98,40131.37,5.00,0.63,6.60,33.00,8918.95,294325.30,36790.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,1.00,3.75,30.00,890.86,26725.68,3340.71,7150.00,893.75
19451 - ASIAN HOSPITAL AND MEDICAL CENTER,19451,ASIAN HOSPITAL AND MEDICAL CENTER,JUAN DIONISIO MARCELINO REYES FORONDA,Cardiology,83,404,3317278.71,39967.21,65.00,0.78,2.42,157.00,10540.33,1654832.02,19937.74,6.00,0.07,1.00,6.00,234180.47,1405082.79,16928.71,79.00,0.95,3.05,241.00,1067.90,257363.90,3100.77,121227.00,1460.57
90029996 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90029996,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,GLADELYN CAPILI ESCASURA,Cardiology,39,206,1555694.33,39889.60,24.00,0.62,3.46,83.00,13089.52,1086430.34,27857.19,3.00,0.08,1.33,4.00,81061.03,324244.11,8313.95,39.00,1.00,3.05,119.00,1218.65,145019.88,3718.46,56635.00,1452.18
20921 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,20921,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,AMOR PERLAS LAURO,Cardiology,40,235,1593628.90,39840.72,30.00,0.75,4.20,126.00,8892.78,1120490.44,28012.26,3.00,0.08,1.00,3.00,77260.63,231781.89,5794.55,39.00,0.98,2.72,106.00,2276.95,241356.57,6033.91,21190.00,529.75
90029467 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90029467,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JEKRYLEI INCILLO CADELIÃ‘A,Endocrinology,13,87,517197.03,39784.39,8.00,0.62,3.75,30.00,8474.47,254234.04,19556.46,1.00,0.08,2.00,2.00,104308.02,208616.04,16047.39,13.00,1.00,4.23,55.00,988.13,54346.95,4180.53,25750.00,1980.77
31182 - MARIKINA VALLEY MEDICAL CENTER INC.,31182,MARIKINA VALLEY MEDICAL CENTER INC.,REMUS SULPICIUS TACLAY BATILARAN,Interventional Cardiology,16,106,633298.12,39581.13,13.00,0.81,3.31,43.00,7335.08,315408.38,19713.02,2.00,0.13,1.00,2.00,127828.58,255657.15,15978.57,15.00,0.94,4.07,61.00,1020.21,62232.59,3889.54,42900.00,2681.25
90004562 - ASIAN HOSPITAL AND MEDICAL CENTER,90004562,ASIAN HOSPITAL AND MEDICAL CENTER,GILBERT GABRIEL FLORENTINO,Interventional Cardiology,33,155,1299339.12,39373.91,21.00,0.64,2.95,62.00,13685.14,848478.76,25711.48,4.00,0.12,1.00,4.00,86564.46,346257.85,10492.66,31.00,0.94,2.87,89.00,1175.31,104602.51,3169.77,57522.00,1743.09
90022527 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90022527,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,KRISTOFFER VINCENT PINE TANSECO,Cardiology,23,125,905530.79,39370.90,15.00,0.65,4.53,68.00,9877.38,671661.64,29202.68,1.00,0.04,1.00,1.00,139604.73,139604.73,6069.77,21.00,0.91,2.67,56.00,1683.29,94264.42,4098.45,38100.00,1656.52
90027004 - ST. LUKE'S MEDICAL CENTER-QC,90027004,ST. LUKE'S MEDICAL CENTER-QC,CARMEN CARINA GLORIA CABRERA,Endocrinology,13,56,509574.90,39198.07,8.00,0.62,3.38,27.00,12952.77,349724.90,26901.92,1.00,0.08,1.00,1.00,144000.00,144000.00,11076.92,12.00,0.92,2.33,28.00,566.07,15850.00,1219.23,23100.00,1776.92
90026322 - ASIAN HOSPITAL AND MEDICAL CENTER,90026322,ASIAN HOSPITAL AND MEDICAL CENTER,JEZREEL LABRADOR TAQUISO,Cardiology,38,186,1489277.36,39191.51,33.00,0.87,2.61,86.00,13682.44,1176689.81,30965.52,2.00,0.05,1.00,2.00,83080.63,166161.26,4372.66,37.00,0.97,2.65,98.00,1494.15,146426.29,3853.32,33930.00,892.89
90001367 - ASIAN HOSPITAL AND MEDICAL CENTER,90001367,ASIAN HOSPITAL AND MEDICAL CENTER,ALAN REGIN SY MALVAR,Nephrology,61,375,2388921.75,39162.65,48.00,0.79,3.54,170.00,9309.56,1582624.98,25944.67,3.00,0.05,1.33,4.00,162982.54,651930.14,10687.38,60.00,0.98,3.35,201.00,767.99,154366.63,2530.60,161682.00,2650.52
90018603 - MAKATI MEDICAL CENTER,90018603,MAKATI MEDICAL CENTER,CHARISSE MENDOZA ALDEA,Cardiology,117,622,4542389.67,38823.84,92.00,0.79,3.48,320.00,10576.91,3384609.96,28928.29,5.00,0.04,1.00,5.00,179572.34,897861.68,7674.03,104.00,0.89,2.86,297.00,875.14,259918.03,2221.52,218065.00,1863.80
90023181 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90023181,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,ANDRE LAWRENCE GONZALES TOJINO,Cardiology,75,418,2854015.04,38053.53,54.00,0.72,3.43,185.00,11719.08,2168029.97,28907.07,4.00,0.05,1.25,5.00,81687.04,408435.19,5445.80,74.00,0.99,3.08,228.00,1217.32,277549.88,3700.67,126530.00,1687.07
90025894 - ASIAN HOSPITAL AND MEDICAL CENTER,90025894,ASIAN HOSPITAL AND MEDICAL CENTER,BERNARD BENJAMIN PASION ALBANO,Cardiology,16,77,606866.17,37929.14,14.00,0.88,2.57,36.00,10091.54,363295.55,22705.97,1.00,0.06,1.00,1.00,164499.00,164499.00,10281.19,13.00,0.81,3.08,40.00,1976.79,79071.62,4941.98,18100.00,1131.25
20921 - ASIAN HOSPITAL AND MEDICAL CENTER,20921,ASIAN HOSPITAL AND MEDICAL CENTER,AMOR PERLAS LAURO,Cardiology,52,324,1971028.32,37904.39,41.00,0.79,3.29,135.00,8469.92,1143438.92,21989.21,5.00,0.10,1.00,5.00,130394.25,651971.25,12537.91,50.00,0.96,3.68,184.00,954.45,175618.15,3377.27,98370.00,1891.73
"90027182 - MEDICAL CENTER MANILA, INC.",90027182,"MEDICAL CENTER MANILA, INC.",ALFRED MATTHEW REYES DAYO,Internal Medicine,23,129,869891.62,37821.37,21.00,0.91,3.00,63.00,5128.76,323111.92,14048.34,1.00,0.04,1.00,1.00,480000.00,480000.00,20869.57,22.00,0.96,2.95,65.00,1027.38,66779.70,2903.47,52888.00,2299.48
90016185 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,90016185,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,MICHELLE ANG CO,Endocrinology,12,56,448426.47,37368.87,6.00,0.50,4.00,24.00,3984.19,95620.45,7968.37,2.00,0.17,1.00,2.00,157335.00,314670.00,26222.50,12.00,1.00,2.50,30.00,1271.20,38136.02,3178.00,7553.00,629.42
4730 - THE MEDICAL CITY,4730,THE MEDICAL CITY,CARLOS PONCIANO R. ESGUERRA,Interventional Cardiology,10,67,370711.73,37071.17,10.00,1.00,5.60,56.00,5683.89,318297.93,31829.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.70,1.57,11.00,4764.89,52413.80,5241.38,0.00,0.00
90029801 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90029801,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,GEORGE HO CORDOVA,Cardiology,7,31,258515.75,36930.82,6.00,0.86,2.00,12.00,11239.58,134874.90,19267.84,1.00,0.14,1.00,1.00,85777.14,85777.14,12253.88,6.00,0.86,3.00,18.00,2103.54,37863.71,5409.10,20670.00,2952.86
90015951 - ASIAN HOSPITAL AND MEDICAL CENTER,90015951,ASIAN HOSPITAL AND MEDICAL CENTER,DANIELLE LOUIS ENRIQUEZ VILLANUEVA,Cardiology,26,127,960124.20,36927.85,17.00,0.65,3.18,54.00,7732.34,417546.20,16059.47,4.00,0.15,1.00,4.00,90134.19,360536.76,13866.80,25.00,0.96,2.76,69.00,2638.28,182041.24,7001.59,61536.00,2366.77
6066 - MAKATI MEDICAL CENTER,6066,MAKATI MEDICAL CENTER,NOEL L. ROSAS,Interventional Cardiology,52,380,1919281.28,36909.26,35.00,0.67,5.51,193.00,7604.75,1467716.00,28225.31,1.00,0.02,1.00,1.00,196474.87,196474.87,3778.36,50.00,0.96,3.72,186.00,1371.45,255090.41,4905.58,94990.00,1826.73
90028390 - ASIAN HOSPITAL AND MEDICAL CENTER,90028390,ASIAN HOSPITAL AND MEDICAL CENTER,EZEKIEL DOMINGO BALLONADO,Internal Medicine,17,86,627272.79,36898.40,15.00,0.88,2.40,36.00,12550.73,451826.29,26578.02,1.00,0.06,1.00,1.00,144596.00,144596.00,8505.65,17.00,1.00,2.88,49.00,629.60,30850.50,1814.74,34710.00,2041.76
20151 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,20151,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,CESAR ANTONIO V. ZULUETA,Cardiology,26,151,956051.69,36771.22,17.00,0.65,4.24,72.00,5963.97,429406.16,16515.62,3.00,0.12,1.33,4.00,110177.03,440708.13,16950.31,24.00,0.92,3.13,75.00,1145.83,85937.40,3305.28,72610.00,2792.69
29042 - ST. LUKE'S MEDICAL CENTER-QC,29042,ST. LUKE'S MEDICAL CENTER-QC,EDWARD BENJIE L. MAGSOMBOL,Cardiology,51,320,1873008.29,36725.65,43.00,0.84,3.93,169.00,6723.70,1136305.23,22280.49,2.00,0.04,1.00,2.00,266272.58,532545.15,10442.06,47.00,0.92,3.17,149.00,1370.19,204157.91,4003.10,78255.00,1534.41
14531 - ST. LUKE'S MEDICAL CENTER-QC,14531,ST. LUKE'S MEDICAL CENTER-QC,IRMA MARIE PAYE YAPE,Cardiology,9,47,329961.04,36662.34,6.00,0.67,4.50,27.00,8492.86,229307.20,25478.58,1.00,0.11,1.00,1.00,82850.04,82850.04,9205.56,8.00,0.89,2.38,19.00,937.04,17803.80,1978.20,5500.00,611.11
39452 - THE MEDICAL CITY,39452,THE MEDICAL CITY,IRWIN PAUL NABONG BUNDALIAN,Cardiology,42,195,1533347.97,36508.29,27.00,0.64,2.96,80.00,7449.53,595962.35,14189.58,2.00,0.05,1.00,2.00,412500.00,825000.00,19642.86,37.00,0.88,3.05,113.00,994.56,112385.62,2675.85,105615.00,2514.64
"90010979 - MANILA EAST MEDICAL CENTER, INC.",90010979,"MANILA EAST MEDICAL CENTER, INC.",EDGARD AGUSTIN FORONDA,Cardiology,55,318,2004586.85,36447.03,35.00,0.64,3.91,137.00,5305.90,726907.76,13216.50,6.00,0.11,1.17,7.00,160961.36,1126729.49,20485.99,54.00,0.98,3.22,174.00,867.53,150949.60,2744.54,140515.00,2554.82
10021 - MAKATI MEDICAL CENTER,10021,MAKATI MEDICAL CENTER,LOURDES DORION DIAZ,Cardiology,18,80,654346.80,36352.60,16.00,0.89,2.75,44.00,9675.65,425728.40,23651.58,3.00,0.17,1.00,3.00,68586.67,205760.00,11431.11,13.00,0.72,2.54,33.00,692.68,22858.40,1269.91,37380.00,2076.67
28962 - MAKATI MEDICAL CENTER,28962,MAKATI MEDICAL CENTER,MA. CECILIA GUILAS GONZALES,Cardiology,7,50,254393.91,36341.99,7.00,1.00,2.57,18.00,9125.82,164264.71,23466.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.86,5.33,32.00,2816.54,90129.20,12875.60,13725.20,1960.74
10384 - THE MEDICAL CITY,10384,THE MEDICAL CITY,ROMMEL PORNASDORO TOLENTINO,Cardiology,9,69,326414.95,36268.33,8.00,0.89,5.00,40.00,4422.98,176919.06,19657.67,1.00,0.11,1.00,1.00,104695.21,104695.21,11632.80,7.00,0.78,4.00,28.00,1600.02,44800.68,4977.85,5500.00,611.11
90013069 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90013069,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,RICHARD QUIDASOL ARELLANO,Cardiology,11,57,398666.37,36242.40,10.00,0.91,2.50,25.00,5685.30,142132.40,12921.13,1.00,0.09,1.00,1.00,219919.55,219919.55,19992.69,10.00,0.91,3.10,31.00,1181.11,36614.42,3328.58,29130.00,2648.18
90000232 - DILIMAN DOCTORS HOSPITAL INC.,90000232,DILIMAN DOCTORS HOSPITAL INC.,DARWIN CO UY,Cardiology,11,61,398543.30,36231.21,11.00,1.00,2.64,29.00,13127.49,380697.30,34608.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.82,3.56,32.00,557.69,17846.00,1622.36,20400.00,1854.55
90004910 - MANILA DOCTORS HOSPITAL,90004910,MANILA DOCTORS HOSPITAL,WILBERT ALLAN GULINAO GUMATAY,Cardiology,29,163,1046457.56,36084.74,16.00,0.55,6.13,98.00,7757.79,760263.73,26215.99,2.00,0.07,1.00,2.00,112657.62,225315.23,7769.49,25.00,0.86,2.52,63.00,966.33,60878.60,2099.26,95850.00,3305.17
"90026322 - MEDICAL CENTER MANILA, INC.",90026322,"MEDICAL CENTER MANILA, INC.",JEZREEL LABRADOR TAQUISO,Cardiology,27,180,968649.56,35875.91,20.00,0.74,3.95,79.00,8574.78,677407.68,25089.17,2.00,0.07,1.00,2.00,73967.00,147934.00,5479.04,27.00,1.00,3.67,99.00,1447.55,143307.88,5307.70,54380.00,2014.07
90024763 - THE MEDICAL CITY,90024763,THE MEDICAL CITY,ALFRED RAIMOND STA. ANA MUÃ‘OZ,Cardiology,18,94,645726.58,35873.70,14.00,0.78,3.07,43.00,8072.02,347096.69,19283.15,1.00,0.06,2.00,2.00,120124.93,240249.86,13347.21,18.00,1.00,2.72,49.00,1191.43,58380.03,3243.33,10500.00,583.33
16871 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,16871,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JESUS EDGAR ALMEIDA VILLANO,Cardiology,25,157,894799.47,35791.98,23.00,0.92,3.22,74.00,7684.83,568677.32,22747.09,2.00,0.08,1.50,3.00,77620.34,232861.03,9314.44,25.00,1.00,3.20,80.00,1165.76,93261.12,3730.44,36150.00,1446.00
14066 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,14066,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,MICHAEL LIM VILLA,Endocrinology,38,208,1356190.51,35689.22,38.00,1.00,3.42,130.00,6883.73,894885.38,23549.62,4.00,0.11,1.00,4.00,59916.06,239664.22,6306.95,24.00,0.63,3.08,74.00,2995.15,221640.91,5832.66,42160.00,1109.47
25612 - ST. LUKE'S MEDICAL CENTER-QC,25612,ST. LUKE'S MEDICAL CENTER-QC,EUNICE UY TAN,Cardiology,13,61,463328.30,35640.64,10.00,0.77,3.30,33.00,13132.08,433358.72,33335.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.85,2.55,28.00,1070.34,29969.58,2305.35,12900.00,992.31
90013686 - ST. LUKE'S MEDICAL CENTER-QC,90013686,ST. LUKE'S MEDICAL CENTER-QC,FEDERICK CO CHENG,Cardiology,12,39,427183.92,35598.66,6.00,0.50,3.83,23.00,18197.91,418551.92,34879.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.83,1.60,16.00,539.50,8632.00,719.33,9600.00,800.00
1479 - ASIAN HOSPITAL AND MEDICAL CENTER,1479,ASIAN HOSPITAL AND MEDICAL CENTER,BENJAMIN GARCIA LUNA JR.,Cardiology,32,172,1131069.40,35345.92,25.00,0.78,2.84,71.00,10908.34,774492.28,24202.88,3.00,0.09,1.33,4.00,48032.62,192130.46,6004.08,30.00,0.94,3.23,97.00,1695.33,164446.66,5138.96,86025.00,2688.28
90009825 - MAKATI MEDICAL CENTER,90009825,MAKATI MEDICAL CENTER,VALERIE RACELA ZARZA-GERON,Cardiology,37,244,1307492.51,35337.64,21.00,0.57,5.71,120.00,7742.91,929149.00,25112.14,2.00,0.05,1.00,2.00,102947.78,205895.56,5564.74,36.00,0.97,3.39,122.00,1413.51,172447.95,4660.76,103610.00,2800.27
90020875 - ASIAN HOSPITAL AND MEDICAL CENTER,90020875,ASIAN HOSPITAL AND MEDICAL CENTER,LOUDON CLARO ENCARNADO ANTONIO,Cardiology,63,317,2220379.06,35244.11,39.00,0.62,2.95,115.00,12781.61,1469884.61,23331.50,4.00,0.06,1.00,4.00,133473.66,533894.62,8474.52,63.00,1.00,3.14,198.00,1093.94,216599.83,3438.09,233050.00,3699.21
90007885 - ST. LUKE'S MEDICAL CENTER-QC,90007885,ST. LUKE'S MEDICAL CENTER-QC,IAN HOMER YEE CUA,Gastroenterology,15,82,528160.92,35210.73,12.00,0.80,3.25,39.00,12437.02,485043.97,32336.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.87,3.31,43.00,1002.72,43116.95,2874.46,9600.00,640.00
90000297 - ST. LUKE'S MEDICAL CENTER-QC,90000297,ST. LUKE'S MEDICAL CENTER-QC,CONRADO BELMONTE DE CASTRO,Gastroenterology,10,69,351251.54,35125.15,8.00,0.80,3.75,30.00,5803.31,174099.43,17409.94,1.00,0.10,1.00,1.00,110000.00,110000.00,11000.00,10.00,1.00,3.80,38.00,1767.16,67152.11,6715.21,22300.00,2230.00
90030042 - ASIAN HOSPITAL AND MEDICAL CENTER,90030042,ASIAN HOSPITAL AND MEDICAL CENTER,JOSE ANTONIO LOPEZ BAUTISTA,Cardiology,9,36,314814.35,34979.37,6.00,0.67,2.17,13.00,18499.82,240497.71,26721.97,1.00,0.11,1.00,1.00,45393.04,45393.04,5043.67,9.00,1.00,2.44,22.00,1314.71,28923.60,3213.73,6600.00,733.33
90022606 - CARDINAL SANTOS MEDICAL CENTER,90022606,CARDINAL SANTOS MEDICAL CENTER,MARC JOSEF SY SO,Internal Medicine,15,84,523780.84,34918.72,10.00,0.67,3.90,39.00,3483.07,135839.72,9055.98,3.00,0.20,1.00,3.00,109510.59,328531.77,21902.12,14.00,0.93,3.00,42.00,1414.51,59409.35,3960.62,73970.00,4931.33
90020749 - ST. LUKE'S MEDICAL CENTER-QC,90020749,ST. LUKE'S MEDICAL CENTER-QC,LESTER SY UY,Cardiology,37,245,1288206.35,34816.39,30.00,0.81,4.80,144.00,8306.31,1196108.94,32327.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,1.00,2.73,101.00,911.86,92097.41,2489.12,63960.00,1728.65
36085 - ASIAN HOSPITAL AND MEDICAL CENTER,36085,ASIAN HOSPITAL AND MEDICAL CENTER,CHRISTOPHER P. DELOS REYES,Interventional Cardiology,56,314,1940997.45,34660.67,35.00,0.63,4.14,145.00,9529.28,1381745.28,24674.02,5.00,0.09,1.00,5.00,83884.97,419424.86,7489.73,56.00,1.00,2.93,164.00,852.61,139827.31,2496.92,117806.00,2103.68
90029024 - MANILA DOCTORS HOSPITAL,90029024,MANILA DOCTORS HOSPITAL,MICHAEL ALEK YU TAN,Gastroenterology,14,119,484482.35,34605.88,13.00,0.93,5.92,77.00,4292.13,330493.79,23606.70,1.00,0.07,1.00,1.00,130216.56,130216.56,9301.18,13.00,0.93,3.15,41.00,579.80,23772.00,1698.00,36660.00,2618.57
