"cptcode","cptdesc"
CT9978,CT SCAN-READERS FEE
CT9991,CT SCAN-CHEST
CT99911,CHEST CT SCAN HIGH RESOLUTION PLAIN
CT9991127,CHEST HIGH RESOLUTION PLAIN CT SCAN
D-LAB001,"24 HOUR AMB BP MONITORING"
DE003,EXCISION BIOPSY
DE128,EDC ELECTRODESSICATION AND CURETTAGE
DEFAULTCPT000,"THERAPEUTIC, MINOR, OPTHA, AND/OR ENT PROCEDURES"
DEFAULTCPT001,DEFAULT CPT FOR EMERGENCY CASES
DTX005,CREATININE BLOOD
DTX0130,HEMODIAFILTRATION RECLINING CHAIR AV FISTULA/GRAFT
DTX0132,HEMODIALYSIS BED AV FISTULA/GRAFT TRANSIENT
DTX0134,HEMODIALYSIS PRIVATE ROOM AV FISTULA/GRAFT
DTX017,DIALYSIS PANEL A
DTX018,HEMODIALYSIS
DTX0200,HEMODIALYSIS TREATMENT
DTX022,HEMODIALYSIS 6
DTX0250,HEMODIALYSIS RECLINING CHAIR AV FISTULA/GRAFT
DTX0253,HEMODIALYSIS BED AV FISTULA/GRAFT
DTX0261,HEMODIALYSIS RECLINING CHAIR DL DOUBLE LUMEN CATHETER
DTX02750,"HD PACKAGE ( K,CL, PH, CREA, ALB, BUA PRE AND POST, BUN, C02, IONIZED CL, CBC )"
DTX028,HEMODIALYSIS - BED DL (DOUBLE LUMEN CATHETER)
DTX0348,HEMODIAFILTRATION BED AV FISTULA/GRAFT
DTX0350,HEMODIAFILTRATION IR RESPIRATORY AV FISTULA/GRAFT
DTX0356,HEMODIAFILTRATION PR DL DOUBLE LUMEN CATHETER
DTX0358,HEMODIAFILTRATION RECLINING CHAIR DL DOUBLE LUMEN CATHETER-STAT
DTX0362,HEMO RECLINING CHAIR AV DL DOUBLE LUMEN CATHETER
DTX0370,HEMODIALYSIS RECLINING CHAIR DL DOUBLE LUMEN CATHE
DTX0373,HEMODIALYSIS BED FISTULA/GRAFT
DTX0394,HEMODIALYSIS BED DL DOUBLE LUMEN CATHETER TRANSIENT
DTX0512,HEMODIALYSIS PACKAGE 4
DTX0537,HEMOTREATMENT E170HR
DTX0581,HEMODIALYSIS BED DL DOUBLE LUMEN CATHETER
DTX0583,HEMODIALFILTRATION RECLINING CHAIR AV FISTULA/GRAFT
DTX0591,HEMODIALFILTRATION RECLINING CHAIR DL DOUBLE LUMEN CATHETER
DTX077,HEMODIALYSIS ACCESS GRAFT DUPLEX SCAN
DTX081,DIALYSIS TREATMENT
DTX092,DIALYSIS (NEW) HIGH FLUX
DTX104,HEMODIALYSIS FLUID (HPC METHOD)
DTX111,HEMODIALYSIS PACKAGE A
DTX112,HEMODIALYSIS PACKAGE B
EM99222,ACUTE CARE (STABILIZATION FEE
EM99223,CRITICAL CARE (STABILIZATION FEE)
END005,BASIC GASTROSCOPY WITH SEDATION
END009,COLLECTION OF WASHING (COLONIC/ESOPHA)
END011,COLONOSCOPY W/ ADRENALINE INJECTION
END016,(EGD) ESOPHAGOGASTRO DUODENOSCOPY
END041,THERAPEUTIC CLEANSING ENEMA
END053,ENDOSCOPY
END061,OPERATIVE HYSTEROSCOPY
END083,ESOPHAGOGASTRODUODENOSCOPY WITH SEDATION
END084,FLEXIBLE ENDOSCOPIC EVALUATION OF SWALLOWING
END088,FLEXIBLE NASOLARYNGOSCOPY
END091,GASTROSCOPY/COLONOSCOPY W/ VIDEO AND SEDATION
END095,ESOPHAGOGASTRODUODENOSCOPY WITH ANESTHESIA
END105,CAGE COLONOSCOPY EMR (E)
END106,CAGE GASTROSCOPY
END110,TRANSNASAL FLEXIBLE LARYNGOSCOPY
END119,EGD & COLONOSCOPY UNDER SEDATION
END128,CAGE COLONOSCOPY EMR (D)
END231,CAGE COLONOSCOPY
END237,FLEXIBLE FIBER OPTIC LARYNGOSCOPY PACKAGE
END246,LAPARSCOPIC CHOLECYSTECTOMY
END278,COLONOSCOPY (ENDO)
END279,ERCP (ENDO)
END280,ESOPHAGOGASTRODUIDENESCOPY EGD (ENDO)
END293,TFL FIBEROPTIC NASOLARYNGOSCOPY PACKAGE
END320,ERCP (VIDEOSCOPE)
END329,GASTROSCOPY W/ SEDATION BY ENDO
END374,COLONOSCOPE PACKAGE (HMO)
END380,GASTROSCOPE USE (HMO)
END446,ENDOSCOPIC CHOLANGIOPANCREATOGRAPHY (ERCP) PACKAGE
END501,USE OF BIOPSY FORCEPS (EGD)
END505,COLONOSCOPY (THERAPEUTIC)
END534,CAGE GASTROCOLONOSCOPY
ER004,ERS FACILITY FEE
EXC1047-MANULIFE-XRAY CHEST APICOLORDOTIC,MANULIFE-XRAY-CHEST APICOLORDOTIC VIEW
EXCV01020,AUTOMATED URINALYSIS
EXCV01528,"24 HR BP MONITORING"
EXCV02311,ALKALINE PHOSPHATASE (ALP OR ALKPO4)
EXCV0789,AMBULATORY-(ALP OR ALKPO4) ALKALINE PHOSPHATASE
EXCV0797,AMBULATORY-(BUA) BLOOD URIC ACID
EXCV0799,AMBULATORY-(CBG) CAPILLARY BLOOD GLUCOSE
EXCV0800,AMBULATORY-(CEA) CARCINOEMBRYONIC ANTIGEN
EXCV0803,AMBULATORY-(CREA) CREATININE
EXCV0805,AMBULATORY-(ESR) ERYTHROCYTE SEDIMENTATION RATE
EXCV0806,AMBULATORY-(FBS) FASTING BLOOD SUGAR
EXCV0807,AMBULATORY-(FSH) FOLLICLE STIMULATING HORMONE
EXCV0812,AMBULATORY-(K) POTASSIUM
EXCV0813,AMBULATORY-(LH) LUTEINIZING HORMONE
EXCV0814,AMBULATORY-(NA) SODIUM
EXCV0818,AMBULATORY-(PTT) PARTIAL THROMBOPLASTIN TIME
EXCV0821,AMBULATORY-(T3) TRIIODOTHYRONINE; TOTAL
EXCV0824,AMBULATORY-(TSH) THYROID STIMULATING HORMONE
EXCV0849,AMBULATORY-BILIRUBIN
EXCV0855,AMBULATORY-BLOOD UREA NITROGEN (BUN)
EXCV08561,BREAST ULTRASOUND
EXCV0857,AMBULATORY-C3 COMPLEMENT
EXCV0859,AMBULATORY-CALCIUM
EXCV0860,AMBULATORY-CANCER ANTIGEN 125 (CA-125)
EXCV0861,AMBULATORY-CANCER ANTIGEN 153 (CA 153)
EXCV0862,AMBULATORY-CANCER ANTIGEN 19-9 (CA 19-9)
EXCV0876,AMBULATORY-ECG (HEART STATION)
EXCV0879,AMBULATORY-ESTRADIOL (E2)
EXCV0886,AMBULATORY-FT4 RIA
EXCV0891,AMBULATORY-HBA1C (GLYCOSYLATED HEMOGLOBIN)
EXCV0904,AMBULATORY-IONIZED CALCIUM
EXCV0911,AMBULATORY-LIPID PROFILE
EXCV0921,AMBULATORY-PHOSPHORUS
EXCV0926,AMBULATORY-PROSTATE SPECIFIC ANTIGEN (PSA)
EXCV0930,AMBULATORY-ROUTINE URINALYSIS
EXCV0934,AMBULATORY-SGOT/AST
EXCV0935,AMBULATORY-SGPT/ALT
EXCV0941,AMBULATORY-TESTOSTERONE
EXCV0943,AMBULATORY-TIBC (TOTAL IRON BINDING CAPACITY)
EXCV0950,AMBULATORY-TSH (IRMA)
EXCV0995,AMBULATORY-XRAY- CERVICAL SPINE APL
EXCV1004,AMBULATORY-XRAY-CHEST PA 11X14 (ADULT)
EY003,BIOMETRY SCAN
EY005,APPLANATION TONOMETRY (INTRAOCULAR PRESSURE {IOP} MEASUREMENT)
EY006896,OCT BOTH EYES
EY010,AUTOMATED REFRACTION
EY013,BIOMETRY (BOTH EYES)
EY021,CATARACT SURGERY(PHACOEMULSIFICATION)
EY036,COLOR VISION TEST (ISHIHARA)
EY041,CORNEAL STAINING
EY042,CORNEAL TOPOGRAPHY
EY0429,CORNEAL TOPOGRAPHY PENTACAM BOTH EYES
EY052,DILATED FUNDUS/RETINA EXAMINATION
EY060,DIRECT OPTHALMOSCOPY
EY062,ENDOTHELIAL CELL COUNT
EY065,EPILATION (EYE)
EY068,FLUORESCEIN DYE
EY071,FLUORESCEIN ANGIOGRAPHY
EY07414,FUNDUS PHOTOGRAPHY
EY076,FOREIGN BODY REMOVAL EYE
EY079,FUNDUS PHOTOGRAPHY/FUNDUS SCREENING
EY080,FUNDUSCOPY
EY0810,GLAUCOMA WORK UP BOTH EYE
EY082,GONIOSCOPY
EY089,INDIRECT OPTHALMOSCOPY
EY091,IOL MASTER(BIOMETRY)PER EYE
EY096,KERATOMETRY
EY097,LACRIMAL APPARATUS IRRIGATION
EY1000,RETINA PACKAGE
EY1002,FUNDUS PHOTO (GLAUCOMA/RETINA) BOTH EYES
EY1007,LACRIMAL DUCT PROBING
EY1008,AVF/PERIMETRY-BOTH EYES
EY1010,CORNEAL FLUORESCEIN STAINING
EY1011,FLUORESCEIN DYE DISAPPEARANCE TEST
EY1042,PHACOEMULCIFICATION W/ IOL
EY1049,BIO/SM/CTOPO (BILATERAL)
EY1050,BIO/SM/CTOPO (UNILATERAL)
EY1082,LASER YAG CAPSULOTOMY (UNILATERAL)
EY1083,LASER YAG IRIDOTOMY (UNILATERAL)
EY1091,OCULAR ULTRASOUND (BILATERAL)
EY1092,ULTRASONIC BIOMICROSCOPY FOR ANTERIOR SEGMENT (UNILATERAL)
EY1132,INTRAVITREAL INJECTION (PER EYE)
EY116,MACULAR GRID TEST
EY1167,BIOMETRY BOTH EYES
EY1170,OCT WITH OPTIC NERVE + RNFL
EY1174,FUNDUS PHOTOGRAPHY (BOTH EYES)
EY1182,DRY EYE TEST
EY1209,FLOURESCEIN ANGIOGRAM
EY1225,DILATED FUNDUS (OS/OD)
EY123201,OCT-NERVE
EY125,OPTICAL COHERENCE TOMOGRAPHY (OCT) - BOTH EYES
EY126,OCT ( OPTICAL COHERENCE TOMOGRAPHY ) - NERVE
EY127,OCT ( OPTICAL COHERENCE TOMOGRAPHY ) - RETINA
EY1293,FUNDUS PHOTO MACULA
EY1294,FUNDUS PHOTO OPTIC DISC
EY1306,"B-SCAN, OD"
EY131,PACHYMETRY
EY1311,"FLUORESCEIN ANGIOGRAPHY, OU"
EY1312,"FUNDUS PHOTO, OU (BOTH EYES)"
EY13145,FLUORESCEIN ANGIOGRAPHY AND OCT PACKAGE
EY1318,LASER IRIDOPLASTY (1 EYE ONLY)
EY137,PENTACAM
EY1379,FULL VISUAL FIELD (BOTH EYES)
EY138,PERIMETRY/VISUAL FIELD TEST (BOTH EYES)
EY1393,FUNDUS PHOTO
EY1406,B-SCAN
EY1417,ISHIHARA EYE TEST
EY1420,GLAUCOMA PACKAGE
EY1422,BIOMETRY IOL MASTER ONE EYE
EY1432,BIOMETRY (ONE EYE)
EY1433,B SCAN (TWO EYE)
EY1434,FLOURESCIEN ANGIOGRAPHY (FA)
EY1436,EYE - YAG (BOTH EYE)
EY1438,EYE - PAN RETINAL PHOTOGOAGULATION (BOTH EYE)
EY1440,EYE - OCT (OPTICAL COHERENCE TOMOGRAPHY) BOTH EYE
EY1446,EYE- FUNDUS PHOTOGRAPHY
EY1452,LENSTAR BIOMETRY) PER EYE~EYRE
EY1455,FUNDUS PHOTO/DISC PHOTO PER EYE~EYRE
EY1496,PERIMETRY/VFT HUMPHREY BOTH EYES
EY1497,PERIMETRY/VFT OCTOPUS BOTH EYES
EY1500991,FUNDUS PHOTO BOTH EYES
EY15009911,FUNDUS PHOTO
EY1501,CORNEAL ANALYSIS (TOPOGRAPHY) BOTH EYES
EY1510,"GLAUCOMA PACKAGE WITH ANTERIOR SEGMENT (VISUAL FIELD TEST + OCT,RNFL&ONH + DISC PHOTO + OCT, AS)"
EY1511,GLAUCOMA PLUS PACKAGE(VFT+OCT+DISC PHOTO+PACHYMETRY)
EY1515,"FUNDUS PHOTO, OS"
EY1517,GLAUCOMA PACKAGE (OCT+PERIMETRY) BOTH EYES
EY152,REFRACTION ( AUTOMATED REFRACTOMETER)
EY1521,OPTICAL COHERENCE TOMOGRAPHY- BOTH EYES
EY1523,PERIMETRY/ AUTOMATED VISUAL FIELDS - BOTH EYES
EY1529,ALCAINE MICROREFLEX TEST
EY1532,B SCAN OCULAR ULTRASOUND (UNILATERAL)
EY1534,GLAUCOMA PACKAGE FP/OCT/VF (BILATERAL)
EY1536,IMMERSION A SCAN (BILATERAL)
EY155,RETINAL EXAM
EY1558,YAG IRIDOTOMY (PHIC)
EY1564,COLOR FUNDUS PHOTO
EY157,ROSE BENGAL STAINING
EY1576,EYEP2
EY158,SCHIRMER'S TESTS / DRY EYE TEST
EY1582,PERIMETRY OR VFA-BOTH EYES
EY1583,PERIMETRY OR VFA-PER EYE
EY1606,LASER IRIDOTOMY PER EYE W/ PHILHEALTH
EY1616,AVF - BOTH (AUTOMATED VISUAL FIELD) /SS
EY1618,FA-FLUORESCEIN ANGIOGRAPHY/SS
EY1619,OCT (BOTH EYES - GLAUCOMA) /SS
EY1620,OCT (BOTH EYES - RETINA) /SS
EY1622,OCT (SINGLE EYE - RETINA) /SS
EY1633,A SCAN BIOMETRY (SINGLE EYE)
EY168,SLIT LAMP EXAMINATION / BIOMICROSCOPY
EY1684,OPTICAL COHERENCE TOMOGRAPHY MACULA
EY170,SPECULAR MICROSCOPY
EY1717,OPTICAL COHERENCE TOMOGRAPHY (OCT) ANGIOGRAPHY - MACULA OU
EY1718,BIOMETRY IOL MASTER(HMO)
EY1719,B-SCAN(HMO)
EY1722,GLAUCOMA PACKAGE(HMO)
EY1725,OCT - MACULA(HMO)
EY173,TEAR BREAK UP TIME
EY175,APPLANATION TONOMETRY (INTRAOCULAR PRESSURE {IOP} MEASUREMENT
EY178,ULTRASOUND-B-SCAN
EY178,ULTRASOUND-B-SCAN (UNILATERAL)
EY179,ULTRASOUND-BIOMICROSCOPY
EY1809,DRY EYE SCREENING
EY181,VISUAL ACUITY
EY1817,OCULAR COHERENCE TOMOGRAPHY-ONH (BOTH EYES)
EY1819,VISUAL FIELD
EY182,VISUAL FIELD TESTING
EY1823,FLUORESCEIN ANGIOGRAPHY (OPTOS)
EY183,VISUAL FIELDS AND PERIMETRY
EY1841,XRAY - HIPS (PELVIC) AP
EY18466,MEIBOMEGRAPHY WITH KERATOGRAPH
EY1857,FA WITH FUNDUS PHOTO (PHIC)
EY1859,OPTICAL COHERENCE TOMOGRAPHY (OCT) - BOTH EYES
EY1861,OPTICAL COHERENCE TOMOGRAPHY (OCT) OPTIC NERVE HEAD ( GLAUCOMA ) BOTH EYES
EY18660,PERIMETRY TEST
EY1897,PHACOEMULSIFICATION (NET OF PHIC/PF INCLUDED)
EY1900,OCT ANGIOPLEX-BOTH EYES
EY191,FUNDUS DISC PHOTO
EY1912,LASER IRIDOTOMY - PER EYE
EY1915,OPTICAL COHERENCE TOMOGRAPHY MACULA (BOTH EYES)
EY196,PERIMETRY/VFT-BOTH EYES
EY1960,NERVE PHOTO OPTICAL TOMOGRAPHY-BOTH EYES
EY1964,VISUAL FIELD PERIMETRY BOTH EYES
EY1988,GLAUCOMA PACKAGE BOTH EYES
EY200,RED FREE PHOTO BOTH EYES
EY2039,OCT OF MACULA/OPTIC NERVE 2 EYES
EY205,ICG-INDOCYANINE GREEN
EY2072,IOL MASTER BIOMETRY-BOTH EYES
EY2075,OCT - BOTH EYES (PROMO)
EY209,OCT MACULA BOTH EYES
EY210,OCT NERVE BOTH EYES
EY2111,CATARACT SCREENING TEST
EY213,PENTACAM/EYE
EY2143,FUNDUS PHOTOGRAPHY (ONE EYE)
EY2147,DISC PHOTO / FUNDUS PHOTO (SC)
EY2167,EC - DISC PHOTO/FUNDUS PHOTO
EY2209,EYE - INTRAVITREAL INJECTION W/ OCT
EY2212,EYE - RETINO SCREENING
EY223,CORNEAL TOPOGRAPHY (BOTH EYES)
EY2255,OPTICAL COHERENCE TOMOGRAPHY (OCT) GLAUCOMA ONH\RNFL BOTH EYE
EY227,AUTOMATED VISUAL FIELDS (AVF) BOTH EYES
EY228,OPTIC COHERENCE TOMOGRAPHY (OCT3) BOTH EYES
EY2292,BIOMETRY (BOTH EYE) - 35%
EY2294,DISC COLOR PHOTO / EYE - 35%
EY2315,OCT - MACULA (BOTH EYES) W/ READER''''''''''''''''
EY2319,OCT MACULA & FUNDUS PHOTO(BOTH EYES)W READER''S FE
EY2321,OCT - MACULA (ONE EYE) W/ READER''''''''''''''''S
EY2323,OCT - NFL (BOTH EYES) W/ READER''''''''S FEE
EY2324,OCT - NFL (BOTH EYES) W/ READER''''S FEE - 35%
EY2337,SPECULAR MICROSCOPY (BOTH EYES) - 35%
EY2343,VISUAL FIELD/ PERIMETRY-BOTH EYES W/ READER'''''''
EY2358,OCT ANGIOGRAPHY SCAN (BOTH EYES)
EY2359,OCT ANGIOGRAPHY SCAN (ONE EYE)
EY2360,PANOMAP (COMBINED MACULA AND OPTIC NERVE SCAN)
EY2370,FLUORESCEIN DYE STAINING
EY2371,INDIRECT OPTHALMOSCOPY / RETINA EXAM
EY2376,DIRECT FUNDOSCOPY / RETINA EXAM
EY2377,VAN HENRICK EXAM
EY2378,EXTRAOCULAR MUSCLE EXAM
EY2379,FORNIX SWEEPING
EY240,"DIAGNOSTIC AUDIOMETRY (PURE TONE, SPEECH, TYMPANOMETRY)"
EY2402,"CATARACT PACKAGE (CORNEAL TOPOGRAPHY, VERION, SPECULAR MICROSCOPY, BIOMETRY, HD ANALYZER"
EY2404,GANGLION CELL ANALYSIS (BOTH EYES)
EY2441,OCT ANGIOGRAPHY
EY2522,OCT GLAUCOMA OU
EY2524,PERIMETRY OU
EY2564,OCT OF MACULA/OPTIC NERVE ONE EYE
EY2565,OCT OF MACULA/OPTIC NERVE TWO EYES
EY2568,FUNDUS PHOTO W/ PF
EY2574,USE OF CENTURION
EY2575,USE OF OPHTHALMIC MICROSCOPE
EY2586,FLOURESCIEN/INDOCYANINE GREEN ANGIOGRAPHY(OPTOS)
EY2587,FUNDUS PHOTO - BOTH EYES (OPTOS)
EY2588,FUNDUS PHOTO - ONE EYES (OPTOS)
EY2593,RETINA ASSESSMENT PACKAGE - BOTH EYES (OPTOS)
EY2610,CORNEAL TOPOGRAPHY WITH INTERPRETATION BOTH EYES (PENTACAM)
EY2614,I- TRACE BOTH EYES
EY2615,I TRACE BOTH EYES WITH INTERPRETATION
EY2623,CORNEA AND ANTERIOR SEGMENT PACKAGE
EY2631,KERATOCONUS SCREENING PACKAGE
EY2656,BLEPHEX
EY2660,OCT-NFL (BOTH EYE)
EY2665,FUNDUS PHOTO PLUS (FP+CCT) BOTH EYES
EY2671,TEAR DIAGNOSTIC PACKAGE (OSMOLALITY + OSA FOR BOTH EYE)
EY2675,B-SCAN (ONE EYE)
EY2679,OCULAR SURFACE ANALYSIS BOTH EYES
EY2682,SPECULAR MICROSCOPY WITH PACHYMETRY (BOTH EYES)
EY2686,OCT (OPTICAL COHERENCE TOMOGRAPHY) ONH + GCL 1 EYE
EY2705,DISC PHOTO (GLAUCOMA) - BOTH EYES
EY2707,"GLAUCOMA PLUS, BOTH EYES, PACKAGE (OCT, OHN, VFT, DISC PHOTO, CCT)"
EY274,ELECTRO-OCULOGRAPHY (EOG)
EY2787,KERATOMETRY+BIOMETRY
EY2802,BIOMETRY PER EYE
EY2812,NON-CONTACT A-SCAN (BOTH EYES)
EY2816,OCT MACULA (ONE EYE)
EY2823,RETINA SCREENING
EY2845,GLAUCOMA SCREENING-SC/PWD
EY2852,OCT MACULA BOTH EYES-SC/PWD
EY2866,BIOMETRY SPECULAR (BOTH EYES)
EY2882,OCT (OPTICAL COHERENCE TOMOGRAPHY) ONH + GCL BOTH EYE
EY2884,"ABERROMETRY, PUPILLOMETRY, TOPOGRAPHY EYE PACKAGE"
EY300,FLUORESCEIN STAINING (UNILATERAL)
EY305,FUNDOSCOPY
EY306,RETINOSCOPY
EY307,A-SCAN/BIOMETRY-BOTH EYES
EY310,GLAUCOMA SCREENING
EY311,INDIRECT OPHTHALMOSCOPY
EY313,VISUAL FIELD TESTING (BILATERAL)
EY314,LASER IRIDOTOMY (BOTH EYE)
EY330,MANIFEST REFRACTION
EY339,"BIO/MC/TOPO-BOTH EYES  (BIOMICROSCOPY,CORNEAL TOPOGRAPHY)"
EY344,SPECULAR MICROSCOPY BOTH EYES
EY355,OPTIC COHERENCE TOMOGRAPHY (OCT3) PER EYE
EY360,DIGITAL FUNDUS ANGIOGRAPHY
EY368,STRATUS OCT
EY369,HUMPHREY VISUAL FIELD PERIMETRY
EY3692,HVFT (HUMPHREY VISUAL FIELD TEST)  24-2
EY373,REFRACTIVE SCREENING
EY402,BIOMETRY WITH PENTACAM
EY4141,"GLAUCOMA PACKAGE ( VISUAL FIELD TEST, OCT- OPTIC NERVE, COLOR DISC PHOTO)"
EY423,OCT ( OPTICAL COHERENCE TOMOGRAPHY ) -MACULA AND OPTIC NERVE
EY432,RETINA PACKAGE (FA+OCT)
EY435,AUTOMATED PERIMETRY (PER EYE)
EY440,FUNDUS DISC PHOTO-BOTH EYES
EY441,BIOMETRY LENSTAR (PER EYE)
EY446,OCT ( OPTICAL COHERENCE TOMOGRAPHY ) - GLAUCOMA
EY447,BASIC EYE EXAM
EY459,AUTOMATED PERIMETRY (BOTH EYE)
EY464,FFA (FUNDUS FLUORESCEIN ANGIOGRAM)
EY466,FLUORESCEIN ANGIOGRAM BOTH EYES
EY4661,FLUORESCEIN ANGIOGRAM
EY467,OCT ( OPTICAL COHERENCE TOMOGRAPHY ) - GLAUCOMA BOTH EYES
EY4671,OCT OPTIC NERVE HEAD BOTH EYES
EY468,VISUAL FIELD TEST (HUMPHREY FIELD ANALYSIS) BOTH EYES
EY469,PACHYMETRY (BILATERAL)
EY470,VIDEONYSTAGMOGRAPHY (VNG) WITH CALORIC TESTING
EY473,OCT ( OPTICAL COHERENCE TOMOGRAPHY ) - GLAUCOMA ONH/RNFL PER EYE
EY474,DISC PHOTO
EY477,FOCAL LASER TREATMENT (PER EYE)
EY478,ANTERIOR SEGMENT ALONE
EY479,AVF (OCTOPUS 101 PERIMETRY) + OCT GLAUCOMA (2 EYES)
EY480,OCT ( OPTICAL COHERENCE TOMOGRAPHY ) - GLAUCOMA ONH/RNFL BOTH EYE
EY482,SUBJECTIVE REFRACTION
EY483,OBJECTIVE REFRACTION
EY484,LID EVERSION
EY485,GLAUCOMA PLUS PACKAGE BOTH EYES
EY490,ANTERIOR SEGMENT OCT BOTH EYES
EY495,NON-CONTACT BIOMETRY BOTH EYES
EY497,POTENTIAL ACUITY METER
EY498,OCT ( OPTICAL COHERENCE TOMOGRAPHY ) - OPTIC
EY499,OCT ( OPTICAL COHERENCE TOMOGRAPHY ) PACKAGE
EY500,OCT ( OPTICAL COHERENCE TOMOGRAPHY ) - MACULA (SINGLE EYE)
EY501,OCT (OPTICAL COHERENCE TOMOGRAPHY) - ANTERIOR SEGMENT ANGLE BOTH EYES
EY5011,OCT (OPTICAL COHERENCE TOMOGRAPHY) MACULA BOTH EYES
EY505,OCT (OPTICAL COHERENCE TOMOGRAPHY)-RETINA BOTH EYES
EY512,OCT-ANTERIOR SEGMENT ANGLE (ONE EYE)
EY515,VISUAL FIELD/PERIMETRY (BOTH EYES)
EY516,PERIMETRY-BOTH EYE
EY518,POTENTIAL ACUITY METER
EY521,ULTRASOUND-B-SCAN (BOTH EYES)
EY527,A SCAN (ONE EYE)
EY531,FUNDUS SCREENING - 1
EY535,DISC PHOTO BOTH
EY537,OCULAR ULTRASOUND PER EYE
EY540,CYCLOPEGIC REFRACTION
EY543,CATARACT DIAGNOSTIC 1 FOR CONTACT BOTH EYES
EY547,COLOR FUNDUS PHOTOGRAPHY (BOTH EYES)
EY548,OCT (OPTICAL COHERENCE TOMOGRAPHY)
EY555882,OCT OPTIC NERVE BOTH EYES
EY557,OPTUS FUNDUS PHOTO
EY5577,OPTUS FUNDUS PHOTO OU
EY559,PENTACAM BOTH EYES
EY562,OPTICAL COHERENCE TOMOGRAPHY BOTH EYES
EY5621,OCT ( OPTICAL COHERENCE TOMOGRAPHY ) (PER EYE)
EY569,"ANTERIOR CHAMBER ANGLES SCAN,OD"
EY570,"ANTERIOR CHAMBER ANGLES SCAN,OS"
EY576,APPLANATION TONOMETRY (BOTH EYES)
EY579,A-SCAN BIOMETRY PER EYE
EY580,YAG LASER IRIDOTOMY
EY581,HUMPHREYPERIMETRY  ONE EYE
EY593,OCT ( OPTICAL COHERENCE TOMOGRAPHY )-MACULA AND OPTIC NERVE (BOTH EYES)
EY594,DILATED RETINAL EXAM
EY600,FLOURESCEIN ANGIOGRAPHY
EY60102,FA (FLOURESCEIN ANGIOGRAPHY) BOTH EYES
EY602,OCT (OPTICAL COHERENCE TOMOGRAPHY) MACULA WITH READING
EY603,HUMPHREYPERIMETRY
EY627,OCT MACULA RETINA
EY628,EYE REFRACTION
EY632,DISC PHOTO BOTH EYES
EY634,OCT OPTIC NERVE HEAD (GLAUCOMA)
EY638,BIOMETRY (A-SCAN) SONOMED BOTH EYES
EY640,OCT (OPTICAL COHERENCE TOMOGRAPHY)
EY646,OCT ( OPTICAL COHERENCE TOMOGRAPHY ) - DISC
EY653,FP/VF/OCT
EY655,DIGITAL FUNDUS PHOTO PER EYE
EY665,DISC COLOR PHOTO/EYE
EY671,"CATARACT PACKAGE (BIOMETRY, SPECULAR MICROSCOPY, CORNEAL TOPOGRAPHY)"
EY675,NON-CONTACT BIOMETRY PER EYE
EY677,COLOR FUNDUS PHOTOGRAPHY PER EYE
EY684,
EY729,GLAUCOMA SCREENING 1 (BOTH EYES) 
EY741,PHACOEMULSIFICATION
EY745,APPLANATION TONOMETRY
EY84801,MACULAR OCT (BOTH EYES)
EY853,DIABETIC FUNDUS PHOTO
EY867,GLAUCOMA PACKAGE OD
EY868,GLAUCOMA PACKAGE OS
EY869,AUTOMATED VISUAL FIELD OS
EY870,CENTRAL CORNEAL THICKNESS TEST OS
EY872,DISC PHOTO/FUNDUS PHOTO OS
EY873,FLOURESCEIN ANGIOGRAPHY OS
EY874,FULL FUNDUS PHOTO (IR IMAGE) OD
EY875,FULL FUNDUS PHOTO (IR IMAGE) OS
EY877,GANGLION COMPLE SCAN OD
EY882,OCT F1 GLAUCOMA OD
EY883,OCT F1 GLAUCOMA OS
EY884,OCT F6 MACULA OD
EY886,OCT GLAUCOMA OS
EY887,OCT MACULA OS
EY899,AUTOMATED VISUAL FIELD (SCREENING) OD
EY900,AUTOMATED VISUAL FIELD (SCREENING) OS
EY901,"AUTOMATED VISUAL FIELD OD, W/O READERS FEE"
EY903,BIOMETRY (CONTACT) OS
EY904,BIOMETRY (IMMERSION) OD
EY905,BIOMETRY (IMMERSION) OS
EY906,"CENTRAL CORNEAL THICKNESS TEST OD, W/O RF"
EY910,"DISC PHOTO/FUNDUS PHOTO OD, W/O RF"
EY911,DISC PHOTO/FUNDUS PHOTO
EY912,"FLUORESCEIN ANGIOGRAPHY OD, W/O RF"
EY914,"FULL FUNDUS PHOTO (IR IMAGE) OD, W/O RF"
EY915,"FULL FUNDUS PHOTO (IR IMAGE) OS, W/O RF"
EY927,"OCT GLAUCOMA OD, W/O RF"
EY929,"OCT MACULA OD, W/O RF"
EY949,B SCAN ONE EYE
EY9499,B SCAN ULTRASOUND ONE EYE
EY957,COLOR PHOTO WITH READING
EY992,BIOMETRY (A-SCAN) SONOMED ONE EYE 
EY999,OCT MACULA (RETINA) BOTH EYES
FEE001,ED FEE 1
FEE002,ED FEE 2
FEE004,FACILITY FEE
GM0074,AMBULATORY LAPAROSCOPIC CHOLECYSTECTOMY (PF INCLUDED/NET OF PHIC)
GM0948,LAPAROSCOPIC CHOLECYSTECTOMY W/ RE-USABLE TROCARS
GM1608,ELECTROCARDIOGRAM (OUT-PATIENT
GM2753,POLYPECTOMY
GM3135,CHEMOTHERAPY UNIT PACKAGE
GM3136,CHEMOTHERAPY-FULL DAY STAY OVER 4 HOURS
GM3137,CHEMOTHERAPY-INTERMEDIATE STAY 2-4 HOURS STAY
