"cptcode","cptdesc"
LAB0162-STAT,RBS - STAT
LAB0163,SPUTUM CULTURE ONLY
LAB0163-STAT,RANDOM URINE SODIUM - STAT
LAB0165-STAT,ROUTINE URINALYSIS - STAT
LAB0168-STAT,BLEEDING TIME - STAT
LAB0169-STAT,CLOTTING TIME - STAT
LAB0170,FERRITIN
LAB0170-STAT,RED BLOOD CELL (RBC) - STAT
LAB01730,ANTI BODY HEPATITIS C EIA
LAB0177,(LH) LUTEINIZING HORMONE IM
LAB0180,PREGNANCY TEST (ABOTT)
LAB0183,GLUCOSE (CBS) CAPILLARY BLOOD SUGAR
LAB0187,SALMONELLA IGG/IGM
LAB0188,SPUTUM CULTURE
LAB0189,WOUND CULTURE
LAB0192,"ELECTROLYTE PANEL (NA, K, CL)"
LAB0193,"THYROID PANEL (T3,T4,TSH,FT3,FT4,FTI)"
LAB0194,"DIALYSIS PANEL (CBC,RU,NA,K,FBS,BUN,BUA,CREA,CA,P,"
LAB0195,"HEPATITIS PANEL (HAV IGM,HBSAG,ANTI HBS,HBEAG,HCV)"
LAB0197,CHEM 20
LAB0198,(EH) ENTAMOEBA HYSTOLYTICA TEST
LAB0199,H-PYLORI IGG (QUANTITATIVE)
LAB01992,H-PYLORI ANTIBODIES
LAB0200,H-PYLORI IGM (IMMUNOGLOBULIN M) QUANTITATIVE
LAB0201,TZANCK SMEAR
LAB02060,APTT
LAB02062,APTT
LAB02063,APTT (ACTIVATED PARTIAL THROMBOPLASTIN TIME)
LAB02101,CHLORIDE
LAB0211312,BIOPSY SPECIMEN
LAB021303,(CBC) COMPLETE BLOOD COUNT W/O PLATELET COUNT STAT
LAB021510,H PYLORI
LAB0215101,H PYLORI QUALITATIVE
LAB0216,H PYLORI STOOL
LAB0216001,DENGUE IGM BLOT
LAB0216002,DENGUE IGG BLOT
LAB0216003,"24 HOUR AMBULATORY BLOOD PRESSURE(AMBP) MONITORING"
LAB0216004,GLOBULIN
LAB0216005,THROAT SWAB
LAB0216006,CULTURE AND SENSITIVITY - THROAT
LAB0216007,SALMONELLA TYPHI
LAB021601,H PYLORI TOOL ANTIGEN TEST
LAB02169,H PYLORI STOOL ANTIGEN
LAB022,POTASSIUM
LAB0224004,SERUM OSMOLALITY
LAB0226,(PT) PROTIME SYSMEX
LAB0234,TOTAL BILIRUBIN DT2
LAB0236,UNICAP-U1RNP
LAB0238,CULTURE AND SENSITIVITY - SPUTUM W/ GRAMS STAIN
LAB0243,PROTIME (PT) W/ INT''L NORMALIZED RATIO (INR)
LAB0247,CULTURE & SENSITIVITY-GRAM STAIN W/ THROAT SWAB
LAB0248,CULTURE & SENSITIVITY-WOUND W/ GRAM STAIN
LAB0250,CARCINO EMBRYONIC ISOENZYMES
LAB0253,FECALYSIS - ELISA
LAB0256,ANAEROBIC CULTURE (BLOOD)
LAB0258,CULTURE AND SENSITIVITY - AEROBIC W/ ARD
LAB0259,CULTURE AND SENSITIVITY - URETHRAL DISCHARGE
LAB0261,PROCESSING FEE FOR PACKED RBC
LAB0262,PROCESSING FEE FOR PLATELET CONCENTRATE
LAB0268,OGTT-2H
LAB0279,RADICAL BIOPSY
LAB0280,CALCIUM-CREATININE RATIO (URINE)
LAB0289,GLUCOSE STRIPS
LAB02981,PERIPHERAL BLOOD SMEAR (PBS)
LAB03002,HEPATITIS PROFILE
LAB0301,C3 W/ DILUTION
LAB0306,BLOOD CHEMISTRY
LAB0307,HEPATITIS PROFILE A AND B
LAB0308,EXTRA SMALL HISTOPATH
LAB0310001,"24 HOURS URINE CREA CLEARANCE"
LAB0310003,ANTI HBC TOTAL
LAB0310005,CHEM 7 (CHEM 6 + HDL + LDL)
LAB0310006,"CHEM PANEL 6-(NA, CHOL, GLU, BUN, CREA, URIC)"
LAB0310007,CHEM 5 (FBS + BUA + CREA + TOTAL CHOLE + TRYGLECERIDES)
LAB0310008,DENGUE RAPID TEST
LAB0310009,FLUID CELL COUNT
LAB0310010,FLUID PROTEIN
LAB0310014,HEPATITIS B PROFILE
LAB0310015,H-PYLORI RAPID
LAB0310017,RANDOM BLOOD SUGAR/CAPILLARY BLOOD GLUCOSE (RBS / CBG)
LAB0310018,TYPHI RAPID TEST
LAB0310019,URINE BILIRUBIN
LAB0310020,"24 HOURS URINE ALBUMIN"
LAB0310021,"24 HOURS URINE AMYLASE"
LAB0310022,"24 HOURS URINE MAGNESIUM"
LAB0310023,DHEA-S
LAB0310024,(DSDNA) NATIVE/DOUBLE DNA ANTIBODY
LAB0310026,URINE MAGNESIUM
LAB0310027,TRIIODOTHYRONINE (T3) UPTAKE
LAB0310028,TIBC + IRON
LAB0310031,FECALYSIS WITH OCCULT BLOOD
LAB0310032,FT4 (ECLIA)
LAB0310033,THYROID STIMULATING HORMONE (TSH) ECLIA
LAB03102,PERIPHERAL BLOOD SMEAR
LAB0311,ANTI-SMITH
LAB0314002,"(ANTI-HBC) HEPATITIS B CORE, TOTAL"
LAB0314004,DIRECT BILIRUBIN (B2)
LAB0314005,INDIRECT BILIRUBIN
LAB0314006,HEMATOCRIT WITH PLATELET
LAB0314009,"THYROID PANEL / SCREEN (FT3, FT4, TSH)"
LAB0314889,"FREE TRIIODOTHYRONINE, FREE THROXINE (FT3, FT4)"
LAB0315,HEPARENAL PROFILE
LAB0317,INTACT PARATHYROID HORMONE (IPTH)
LAB0317001,PREGNANCY TEST (BLOOD)
LAB0319512,CA: CALCIUM
LAB0320,ANTI-HBS (HEPATITIS B SURFACE ANTIGEN) ELISA
LAB0322,TOTAL CREATININE
LAB0322001,DENGUE DOT
LAB0322002,DENGUE DUO (DENGUE NS1 AG + IGG/IGM)
LAB0322002,
LAB03220025,DENGUE DUO
LAB0322004,CBC W/ PERIPHERAL BLOOD SMEAR
LAB0322005,RHEUMATOID ARHRITIS (RA)
LAB0322006,RHEUMATOID FACTOR (RF)
LAB0325,"24 HOUR UREA NITROGEN"
LAB0327,FUNGAL CULTURE AND SENSITIVITY
LAB0329,VARICELLA-ZOSTER IGG
LAB0331,TOTAL PSA (PROSTATE SPECIFIC ANTIGEN)
LAB0333,BLOOD CULTURE AND SENSITIVITY W/ ARD
LAB0335,T3 (EIA)
LAB0336,THYROXINE (T4) EIA
LAB0339,"CULTURE AND SENSITIVITY (URINE, WOUND, SPUTUM)"
LAB0340,"CULTURE AND SENSITIVITY (URINE, WOUND, SPUTUM) ANAEROBIC"
LAB0341,DRUG TEST-THC (CONFIRMATORY)
LAB0343,FT3-FT4 (RIA)
LAB0344,FT3-FT4-TSH (RIA)
LAB0346,HEPA B (EIA) CONFIRMATORY (AUTOMATED)
LAB0347,HEPA B (EIA) CONFIRMATORY
LAB0350,T3-T4 (RIA)
LAB0351,BLOOD COMPATIBILITY TEST
LAB0353,ALBUMIN/GLOBULIN RATIO
LAB0354,CHOLESTEROL/HDL RATIO
LAB0355,"2 HOURS POST PRANDIAL BLOOD SUGAR W/ GLUCOSE POWDER"
LAB0358,HEPATITIS B SURFACE ANTIGEN (HBSAG) ELISA (QUANTI)
LAB0361,"2HRS POST PRANDIAL BLOOD SUGAR (AFTER MEAL)"
LAB03633,BILIRUBIN
LAB0366,HBV-DNA QUANTI
LAB0368,HBV-DNA QUALI VITAL LOAD TAQMANN
LAB0371,"24 HOUR URINE UN/UREA NITROGEN"
LAB0372,BLOOD INDICES
LAB0374,HISTOPATH-H PYLORI
LAB0383,BLOOD CHEMISTRY PACKAGE 23
LAB0389,TOTAL PROTEIN-PLEURAL FLUID
LAB0390,SERUM IGE
LAB0394,MICRAL TEST (QUANTI)
LAB0395,ANTI-HCV / HCV-RNA (QUANTITATIVE)
LAB0397,E.HISTOLYTICA ELISA TEST (EHEIA)
LAB0401001,URINALYSIS WITH RBC MORPHOLOGY
LAB0402,"2HRS POST PRANDIAL INSULIN"
LAB0404,ALLERGY PANEL 1 (ANIMAL)
LAB0405,ALLERGY PANEL 10 (POLEN)
LAB0406,ALLERGY PANEL 2 (SEAFOODS)
LAB0407,ALLERGY PANEL 3 (MEAT AND DIARY PRODUCT)
LAB0407001,"(APAS) ANTI-PHOSPHOLIPID SYDROME PANEL (PTT,ACA,IGG/IGM,KCT)"
LAB0407003,(CYA) CYCLOSPORINE TROUGH LEVEL
LAB0407004,(DRVVT) DILUTE RUSSEL VIPER VENOM TIME
LAB0407005,"ENA SCREEN (EXTRACTABLE NUCLEAR ANTIGEN - ANTI SM, ANTI SSA, ANTI SSB)"
LAB0407006,(FTA-ABS) FLUORESCENT TREPONEMAL ANTIBODY ABSORPTION TEST
LAB0407007,(HBC IGM) HEPATITIS B CORE IGM ANTIBODY
LAB0407009,(KCT) KAOLIN CLOTTING TIME
LAB0407012,(MAFB) MODIFIED ACID FAST STAIN - DIRECT SMEAR
LAB0407013,(RF-QUANTI) RHEUMATOID FACTOR - QUANTITATIVE
LAB0407014,(RPR TITER) SYPHILIS TITER
LAB0407019,ALLERGY SCREEN FULL (PHADIATOP + TOTAL IGE + FOOD MIX FX5) OR UNICAP
LAB0407025,ANTI - SSA OR ANTI RO
LAB0407026,ANTI - SSB OR ANTI-LA
LAB0407029,"AUTOLOGOUS DONATION (INCLUDING TYPE, SCREEN & CROSSMATCH)"
LAB0407035,BILIRUBIN - FRACTIONATED
LAB0407038,"BODY FLUID CHEMISTRY/QUANTITATIVE (GLUCOSE, PROTEIN, LDH)"
LAB0407042,CULTURE AND SENSITIVITY - PLEURAL FLUID
LAB0407044,CULTURE AND SENSITIVITY - AFB (MYCOBACTERIA) FOR STERILE BODY FLUIDS & TISSUES
LAB0407045,"CULTURE AND SENSITIVITY - ASPIRATE (SPECIFY), ROUTINE"
LAB0407047,"CULTURE AND SENSITIVITY - BIOPSY MATERIAL(SPECIFY), ROUTINE"
LAB0407049,CULTURE AND SENSITIVITY - CAMPYLOBACTER (STOOL)
LAB0407054,"CULTURE AND SENSITIVITY - DISCHARGE OR SWAB (SPECIFY(, ROUTINE"
LAB0407072,CULTURE AND SENSITIVITY - SEMEN/SEMINAL FLUID
LAB0407074,"CULTURE AND SENSITIVITY - TRACHEAL/ENDOTRACHEAL ASPIRATE, ROUTINE"
LAB0407075,CULTURE AND SENSITIVITY - URINE WITH COLONY COUNT
LAB0407076,"CULTURE AND SENSITIVITY - ABSCESS, ROUTINE"
LAB0407077,CULTURE AND SENSITIVITY - AEROBIC & ANAEROBIC ONLY
LAB0407078,"CULTURE AND SENSITIVITY - AEROBIC ONLY OR ROUTINE, OTHER SPECIMENS"
LAB0407085,"CARDIAC FUNCTION 1 (TROP, CK, CKMB)"
LAB0407087,"CARDIOVASCULAR EVALUATION-(LIPID PANEL, CRP)"
LAB0407088,CELL COUNT - CSF
LAB0407089,CELL COUNT - OTHER BODY FLUIDS
LAB0407091,CELL COUNT - PLEURAL FLUID
LAB0407093,"CHEM PANEL 12-(GLU, BUN, CREA, CHOL, URIC, NA, TRIG, AST, ALT, CO2, K, CL)"
LAB0407094,"CHEM PANEL 17-(NA, K, CL, CO2, TP,CHOL, URIC, CREA, BUN, GLU, TBIL, ALP, LDH"
LAB0407095,"CHEM PANEL 23 (FBS,BUN,CREA,URIC,LIPID,AST,ALT,TBIL,DBIL,IBIL,TPAG, A/G, ALP,NA,K,C1,CA,P)"
LAB0407101,COMPREHENSIVE LYMPHOMA PANEL
LAB0407103,"COMPREHENSIVE THYROID PROFILE-TSH, T3, T4, FT3, FT4"
LAB0407104,CREATININE - RADIOLOGY USE
LAB0407105,CREATININE - OTHER SOURCE
LAB0407106,CROSSMATCHING PER UNIT
LAB0407112,CULTURE AND SMEAR - AFB (TB;MYCOBACTERIA) PER SAMPLE
LAB0407114,CULTURE ONLY - URINE W. COLONY COUNT
LAB0407115,"CULTURE - BLOOD, AFB (OR MYCOBACTERIAL)"
LAB0407118,"CULTURE - THROAT SWAB, GROUP A SCREEN"
LAB0407120,CYTOLOGY - (CYTOSPIN) FOR URINE
LAB0407121,"CYTOLOGY SMEAR AND BLOCK, ALIMENTARY"
LAB04071219,CYTOLOGY
LAB0407138,DENGUE PANEL - FULL (NS1 ANTIGEN + DENGUE IGM & IGG)
LAB0407140,DHEA
LAB0407143,DRUG TESTING PANEL - 1 (MET/THC) SHABU/MARIJUANA/ECSTACY)
LAB0407144,"ED PANEL 2 (COMPLETE BLOOD COUNT, SODIUM, POTASSIUM, GLUCOSE)"
LAB0407146,"ED PANEL (CBC, GLU, BUN, CREA, NA, K, CL)"
LAB0407147,DRUG TESTING PANEL - 1 (MET/THC) (SHABU/MARIJUANA/ECSTACY) - ER USE
LAB0407151,ESTROGEN RECEPTOR ASSAY (ERA)
LAB0407155,"EXECHEM PANEL (FBS, BUN, CREATININE, URIC ACID, NA, K, LIPID PANEL)"
LAB0407158,FREE TESTOSTERONE
LAB0407159,FROZEN SECTION - SINGLE SPECIMEN (OR FIRST SPECIMEN)
LAB0407160,FROZEN SECTION - 2ND & SUCCEEDING SPECIMEN / ADDITIONAL BLOCK
LAB0407164,GLUCOSE - OTHER BODY FLUID
LAB0407167,GLUCOSE - PLEURAL FLUID
LAB04078,PANEL 2 RESPIRATORY ALLERGY
LAB0407993,CYCLOSPORINE
LAB0409,ALLERGY PANEL 5 (INSECTS)
LAB0410,ALLERGY PANEL 6 (MOLDS)
LAB0411,ALLERGY PANEL 7 (DUST)
LAB0412,ALLERGY PANEL 8 (INHALANT)
LAB0412003,(CYA) CYCLOSPORIN A
LAB0412005,(ANTI B2GP1) BETA 2 GLYCOPROTEIN 1 IGM
LAB0412006,(ANTI B2GP1) BETA 2 GLYCOPROTEIN 1 IGG
LAB0412007,(APAS) ANTIPHOSPHOLIPID ANTIBODY SYDROME
LAB0413,ALLERGY PANEL 9 (OCCUPATIONAL AND TREE)
LAB0418004,H-PYLORI IGM
LAB0418005,ANTI-HELICOBACTER PYLORI IMMUNOGLOBULIN G (IGG)
LAB0418006,HAV IGG (HEPATITIS A)
LAB0418007,HIV RNA VIRAL LOAD PLASMA
LAB0418008,HIV-1 & HIV-2 ANTIBODY
LAB0418011,"IMMUNODEFICIENCY PANEL 1-(CD3, CD4, CD8, CD16, CD56, CD19. CD20)"
LAB0418013,"IMMUNOGLOBULIN/GAMMAGLOBULIN PANEL (IGG,IGA,IGM, IGE)"
LAB0418014,INFECTIOUS SCREEN FOR BLOOD BANK
LAB0418015,"INFERTILITY PANEL 2-FSH, LH, TSH, PROLACTIN, DHEA-SO4, TESTOSTERONE"
LAB0418016,INSULIN - TOTAL
LAB0418019,"KOH MOUNT (FUNGAL SMEAR), HAIR, SKIN & NAILS"
LAB0418020,LACTATE (LACTIC ACID)
LAB0418021,"LE PANEL (ANA, DSDNA,ENA,JO-1) OR LUPUS PANEL"
LAB0418022,LEPTOSPIRA-SPECIFIC ANTIBODY TEST
LAB0418024,LUPUS ANTICOAGULANT TEST 1 (KCT+DRVVT)
LAB0418028,MYOGLOBIN
LAB0418033,ORGANIC ACID SCREEN IN URINE
LAB0418034,OSMOLALITY BLOOD
LAB0418039,"PAPS SMEAR, LIQUID BASED OR THIN PREPARATION"
LAB0418046,PRA SCREENING (PANEL REACTIVE ANTIBODY)
LAB0418047,PROCALCITONIN
LAB0418048,"PROTEIN, OTHER BODY FLUID"
LAB0418050,"PROTEIN, PERITONEAL FLUID"
LAB0418051,"PROTEIN, PLEURAL FLUID"
LAB0418053,PARTIAL THROMBOPLASTIN TIME (PTT) WITH MIXING STUDIES
LAB0418058,SAVE SERUM (WILL BE DISCARDED AFTER 3 MONTHS)
LAB0418063,"SPECIAL STAINS; GROUP I, AFB STAIN"
LAB0418065,"SPECIAL STAIN; GROUP II, ALCIAN BLUE STAIN"
LAB0418068,"SPECIAL STAIN; GROUP II, TRICHOME STAIN"
LAB0418070,SPECIFIC ALLERGEN - CHICKEN
LAB0418073,SPECIFIC ALLERGEN - EGG WHITE
LAB0418075,SPECIFIC ALLERGEN - MILK
LAB0418076,SPECIFIC ALLERGEN - PEANUT
LAB0418077,SPECIFIC ALLERGEN - SHRIMP
LAB0418078,SPECIFIC ALLERGEN - SOYA
LAB0418079,SPECIFIC ALLERGEN - WHEAT
LAB0418081,STOOL EXAMINATION WITH CONCENTRATION
LAB0418085,TISSUE CARCINOEMBRYONIC ANTIGEN (TISSUE CEA)
LAB0418089,TISSUE CD 20
LAB0418092,TISSUE CD 30
LAB0418094,TISSUE C-ERBA-2 (HER-2)
LAB0418095,TISSUE CHROMOGRANIN A
LAB0418096,TISSUE CK-7
LAB0418097,TISSUE CK-20
LAB0418099,TISSUE CYTOKERATIN (BASIC)
LAB0418102,TISSUE GROCOTTS FUNGAL STAIN
LAB0418104,TISSUE KI-67
LAB0418107,TISSUE P-53
LAB0418108,P63 IMMUNOHISTOCHEMISTRY/PROTEIN 63
LAB0418109,TISSUE PROSTATE SPECIFIC ANTIGEN (TISSUE PSA)
LAB0418110,TISSUE S-100
LAB0418112,TISSUE SMOOTH MUSCLE ACTIN
LAB0418113,TISSUE SYNAPTOPHYSIN
LAB0418114,TISSUE TDT (TERMINAL DEOXYNUCLEOTIFYL TRANSFERASE)
LAB0418115,TISSUE TTF-1 (THYROID TRANSCRIPTION FACTOR 1)
LAB041812,CANCER ANTIGEN (CA15-3)
LAB0418123,URINE EOSINOPHIL
LAB0418125,VANCOMYCIN ASSAY - SO
LAB0418130,"VIRAL HEPATITIS PANEL1-HBSAG,ANTI-HBS, ANTI-HCV"
LAB0418131,"VIRAL HEPATITIS PROFILE2-HBEAG, HBSAG, ANTI HBC, ANTI HBE, ANTI HBS"
LAB0418136,"USE OF FILTER UNIT, PLATELET"
LAB0418138,USE OF PLATELET ADMINISTRATION SET
LAB0418139,USE OF TRANSFER BAG
LAB0418140,"USE OF WELDER, PER UNIT OF BLOOD"
LAB0418144,REDCELL / PLALELET PHERESIS
LAB0419003,BILIRUBIN 1 BILIRUBIN 2 TEST COMP.
LAB0419004,CEREBROSPINAL FLUID (CSF) IGG
LAB0419006,E. HISTOLYTICA DETERMINATION
LAB0419010,HAV IGM (HEPA A) (MANUAL)
LAB0419013,HBC IGM
LAB0419016,HDL AND LDL
LAB0419016,
LAB0419017,HUMAN PAPILLOMAVIRUS (HPV) - DNA
LAB0419018,INFLUENZA A AND B
LAB0419022,PLEURAL FLUID ANALYSIS
LAB0419023,PLEURAL FLUID Q/Q
LAB0419026,SERUM IMMUNOGLOBULIN A (IGA)
LAB0419027,SERUM IGG
LAB0419028,SERUM IGM
LAB0419031,T3-T4-TSH RIA (PACKAGE)
LAB0419032,URINE TB PCR
LAB0419034,TSH (EIA)
LAB0419037,VITAMIN D3 SERUM
LAB0419038,STOOL CULTURE ONLY
LAB0419039,URINE CULTURE ONLY
LAB0419040,(HCG) HUMAN GONADOTROPIN - QUANTITATIVE
LAB0419042,AG RATIO
LAB0419043,ANTI-DNA
LAB0419047,CULTURE AND SENSITIVITY - BODY FLUIDS
LAB0427,PROTEIN INDUCED BY VITAMIN K ABSENCE-II (PIVKA-II)
LAB0430,RESPIRATORY VIRUS PANEL
LAB0432,SENSITIVITY TEST FOR MTB W/ PZA
LAB0434,VANCOMYCIN (PEAK LEVEL)
LAB0435,VANCOMYCIN (TROUGH LEVEL)
LAB0441,ALBUMIN (CSF)
LAB0442,AMMONIA (PLASMA)
LAB0443,BLOOD KETONE (QUANTI)
LAB0444,"CHOLESTEROL,TOTAL"
LAB0446,"24HR TOTAL URINE PROTEIN"
LAB044628,"24HR AMBULATORY BP MONITORING"
LAB0447,URINE-TOTAL PROTEIN
LAB0449,FACTOR 10
LAB0453,PERIPHERAL SMEAR MORPHOLOGY
LAB0455000,KOH
LAB0456,TYPHI ANTIGEN
LAB0460,RENAL PANEL A
LAB0461,RENAL PANEL B
LAB0462,RENAL PANEL C
LAB0470,MAGIC 12
LAB0475,(RA-QUANTI) RHEUMATOID ARTHRITIS - QUANTITATIVE
LAB0478,CHOLESTEROL/LDL RATIO
LAB0484,B-HCG (HUMAN CHORIONIC GONADOTROPIN) (H-MOLE)
LAB0487,TREPONEMA PALLIDUM PARTICLE AGGLUTINATION ASSAY (TPPA) - QUANTITATIVE
LAB0489,AMSLER GRID TEST
LAB0494,ANTI-GLUTAMIC ACID DECARBOXYLASE (GAD)
LAB0503001,ANTI-THYROID ANTIBODIES (ANTI-TPO & ANTI THYROGLOBULIN)
LAB0503002,"HIGH-DENSITY LIPOPROTEIN,LOW-DENSITY LIPOPROTEIN, VERY-LOW-DENSITY LIPOPROTEIN (HDL, LDL-VLDL)"
LAB0503003,PAPS SMEAR (READING)
LAB0503004,"17 HYDROXY PROGESTERONE"
LAB0503019,ALLERGY PANEL CLAM 2 (FOOD + INHALANT)
LAB0503025,ANCA (A-NEUTROPHIL CYTOPLASMIC ABS)
LAB0503033,ANTI-MITOCHONDRIAL ABS
LAB0503036,ARSENIC
LAB0503038,ASCITIC FLUID ALBUMIN
LAB0503049,CHLAMYDIA AG TEST
LAB0503057,COPPER LEVEL
LAB0503064,ERYTHROPOEITIN (SERUM)
LAB0503072,H-PYLORI STOOL ANTIGEN
LAB0503074,INSULIN GROWTH FACTOR-1 (IGF-1)
LAB0503075,IMMUNODEFICIENCY PANEL 3
LAB0503078,IMMUNOHISTOCHEMISTRY
LAB0503089,LUPUS ANTICOAGULANT/(DRVVT-DILUTE RUSSELL VIPER VENOM TIME)
LAB0503091,MERCURY
LAB0503102,OSTEOCALCIN
LAB0503106,PLASMA METANEPHRINE
LAB0503120,SEX HORMONE BINDING GLOBULIN (SHBG)
LAB0503122,SPECIAL AMOEBA ELISA TEST
LAB0503136,TSH ANTIBODY (RIA)
LAB0503139,VITAMIN B 1 (THIAMINE)
LAB0503141,VITAMIN D25 HYDROXY CALCIFEROL
LAB0503145,ZINC
LAB0507,IMMUNODEFICIENCY PANEL 6
LAB0509001,VITAMIN D ASSAY/25-OH/CALCIDIOL 25-HYDROXYCHOLECALCIFOEROL TEST
LAB051024,SPUTUM MTB GENEXPERT
LAB0512,CORTISOL BINDING GLOBULIN (CBG)
LAB0512001,ANTI-H PYLORI
LAB0512002,ASPIRATION CYTOLOGY
LAB0512004,EXTRA LARGE - BIOPSY
LAB0512007,CULTURE & SENSITIVITY - CSF
LAB0512010,FERRITIN (ABC)
LAB0512011,PLEURAL FLUID CELL BLOCK
LAB0512014,(ANTI-HBC) HEPATITIS B CORE ANTIBODY
LAB0512020,MEASLES IGG
LAB0512021,MEASLES IGM
LAB0512025,RITDF
LAB0512028,SERUM INSULIN ASSAY
LAB0512033,THYROGLOBULIN IGG
LAB0512044,FOLEY CATHETER INSERTION
LAB0512053,NSS NEBULIZATION
LAB051291000,MAGNESIUM
LAB051291000,
LAB0513,CYTOGENETIC-FLUORESCENT IN SITU HYBRIDIZATION (FISH)
LAB0524,ARIEL PERFORMANCE ANALYSIS SYSTEM (APAS) WORK-UP
LAB0525,MUMPS IGG
LAB0528001,PROTIME (PT) AND PARTIAL THROMBOPLASTIN TIME (PTT)
LAB05280342,PARTIAL THROMBOPLASTIN TIME (PTT)
LAB0535,HISTOPATH-CORE BIOPSY (PROSTATE)
LAB0542,ANTI-THYROGLOBULIN (ECLIA)
LAB0543,ANTI-THYROGLOBULIN (IRMA)
LAB0551,KIDNEY PROFILE
LAB0559,FNAB SMEAR (5-6 SLIDES)
LAB0562,"BLOOD CHEMISTRY-FBS,BUN,BUA,CREA,T.CHOLE"
LAB0564,ANTI HBS AG
LAB0565,(HBC AG) HEPATITIS B CORE ANTIGEN
LAB0567,RHEUMATOID FACTOR LATEX
LAB0569,"CREATININE TOTAL,CKMM,CKMB"
LAB0570,CULTURE AND SENSITIVITY AND SMEAR - AFB (TB;MYCOBACTERIA) PER SAMPLE
LAB0572,TOTAL TESTOSTERONE
LAB0577,"ORAL GLUCOSE SOLUTION-50G,75G,100G"
LAB0580,CULTURE AND SENSITIVITY-CORNEAL SCRAPING (AEROBIC AND ANAEROBIC)
LAB0585,URINE KETONE-DIPSTICK
LAB0587,"SPECIAL STAIN; GROUP I, GIEMSA STAIN"
LAB0590,CULTURE AND SENSITIVITY-BODY FLUID WITH ARD
LAB0597,MTB-PCR SPUTUM
LAB0602001,"SODIUM AND POTASSIUM (NA, K)"
LAB0602002,FT4 AND TSH
LAB0605,ESTRADIOL RIA
LAB0608,HBS AG AND HBS AB
LAB06080006,ALPHA FETO PROTEIN TISSUE
LAB06080019,BLOOD ALCOHOL LEVEL
LAB06080030,CD5
LAB06080033,CHEM 15
LAB06080034,"CHEM M (MICROALBUMIN, CREA RATIO, FBS, HBA1C, CREATININE, LIPID PROFILE, SGPT, CBC, BUA, URINALYSIS)"
LAB06080038,CONCENTRATION METHOD
LAB0608004,CYTOKERATIN 5/6 WITH READING
LAB06080046,CYTOKERATIN (PAN)
LAB06080047,CYTOKERATIN 19
LAB06080048,CYTOKERATIN 5/6
LAB06080054,"SEAFOOD ALLERGY TEST/FX2 (SHRIMP, TUNA, SALMON, BLUE MUSSEL, FISH/COD)"
LAB06080055,"FX5 ALLERGY TEST (EGG WHITE, FISH, WHEAT, PEANUT, SOYA)"
LAB06080063,HBSAG (PT) RAPID
LAB06080075,HEPATOCYTE
LAB06080078,HUMAN EPIDIDYMIS PROTEIN 4 (HE4)
LAB060800780,HE4 HUMAN EPIDIDYMIS PROTEIN
LAB06080079,HUMAN EPIDIDYMIS PROTEIN4+CA125 (HE4+CA125)
LAB06080083,IGE IMMUNOGLOBULIN
LAB06080084,IMMUNOPEROXIDASE (ERA PRA)
LAB06080086,INTACT PARATHYROID HORMONE (CHEM)
LAB06080093,LEUKOCYTE COMMON ANTIGEN CD 45 (LCA)
LAB06080098,LKM (LIVER/KIDNEY MICROSOME) ANTIBODY TEST
LAB06080107,P-ANCA
LAB06080112,PLAP (PLACENTAL ALKALINE PHOSPHATASE)
LAB06080115,PROSTATE-SPECIFIC ANTIGEN (PSA) FREE
LAB06080116,PSA FREE-SERUM (IMMUNOPATH)
LAB06080124,STONE ANALYSIS URINARY-URETHRAL
LAB06080130,TPO (THYROID PROXIDASE)AUTOANTIBODY TEST
LAB06080131,TRIAGE PANEL
LAB06080134,VALPROIC DEPAKENE EPIVAL
LAB06080138,PANEL 1 (IMMUNODEFICIENCY PANEL)
LAB0611,PLASMA CORTISOL RIA
LAB0611001,ALBUMIN - SERUM
LAB0611001,
LAB0611002,CRP HIGH SENSITIVITY
LAB0613002,RPR (RAPID PLASMA REAGIM) QUANTI
LAB0613003,SALMONELLA (EIA) IGG
LAB0613005,CULTURE AND SENSITIVITY STOOL + E. COLI
LAB0613006,PROTEIN ELECTROPHORESIS
LAB0613007,CHLORIDE - CSF
LAB0615001,CHEM 16
LAB0615002,CHEM 19
LAB0615006,ANTI-TG (THYROGLOBULIN(CHEMI)
LAB0615008,CALRETENIN
LAB0615011,ANTI CARDIO (ACA IGG)
LAB0615012,ANTI CARDIO (ACA IGM)
LAB0615041,SPECIFIC ALLERGEN - FISH (COD)
LAB0615044,SPECIFIC ALLERGEN - TUNA
LAB0615047,SQUID (F58)
LAB0615048,SPECIFIC ALLERGEN - EGG YOLK
LAB0615049,SPECIFIC ALLERGEN - CHICKEN
LAB0615070,"HEPATITIS PROF 14 -RENAL (ANTI HBS,HBSAG,ANTI"
LAB0615094,PHADIATOP INFANT
LAB0615098,PROTEIN ELECTROPHORESIS (SERUM)
LAB0615101,URINE PROTEIN ELECTROPHORESIS
LAB0615103,HBV-DNA (REAL TIME-PCR-TAQMAN)HEPATITIS B VIRUS
LAB0615109,CULTURE AND SENSITIVITY - OTHER SPECIMEN
LAB0617,"DRUG TESTING-METH,THC"
LAB0623005,"24 HOUR URINE FREE CORTISOL"
LAB0623007,"24 HOUR URINE METANEPHRINE"
LAB0623008,"24 HOUR URINE OSMOLALITY"
LAB0623009,"24 HOUR URINE VMA (VANILLYLMANDELIC ACID)"
LAB0623010,ANA (IMF)
